#{"t_start": 1764600759.414253, "env_id": "None"}
r,l,t
-6.19,309,2.553289
-13.17,777,8.577103
-11.61,561,9.798405
-9.8,450,14.346046
-11.31,581,15.495271
-19.76,946,21.580457
-0.95,125,21.822803
-2.01,131,22.074711
-5.33,293,28.575958
-17.55,895,30.354037
-16.4,770,35.004574
-11.49,649,38.469383
-19.1,1000,42.755308
-10.3,520,43.767843
-20.1,1000,50.270602
-0.52,72,50.410694
-14.49,859,55.538711
-8.1,440,58.590849
-2.61,231,59.03724
-3.41,291,59.603379
-18.1,1000,66.880245
-10.63,593,70.28531
-13.45,765,71.79886
-4.91,361,76.19626
-17.6,1000,80.382793
-18.7,1000,84.877293
-13.88,798,88.675465
-4.0,220,89.102936
-7.95,505,90.049854
-2.13,163,90.371805
-3.46,246,98.314575
-18.9,1000,102.59909
-1.46,156,102.923961
-3.16,236,103.371303
-5.04,334,104.029124
-9.84,534,112.580267
-16.68,808,116.591345
-8.37,437,117.436407
-20.1,1000,123.478646
-13.91,831,127.539902
-5.55,445,128.412008
-12.43,833,134.158257
0.16,64,134.307885
-3.63,273,134.886157
-1.88,148,139.931879
-16.2,1000,144.050965
-11.01,721,145.450459
-18.32,962,150.997563
-7.36,526,154.300109
-8.63,533,155.380481
-1.63,163,155.744184
-0.05,65,155.869118
-6.27,567,163.002419
-17.5,1000,167.243974
-7.0,440,168.075119
-8.79,709,173.332941
-11.28,828,177.322975
-16.3,1000,181.492317
-17.1,1000,185.839598
-14.5,1000,190.180779
-1.56,186,190.549147
-12.12,972,196.324206
-8.94,774,200.20214
-14.9,1000,204.982481
-0.17,67,205.12095
-11.75,985,210.312645
-2.53,273,210.870574
-4.27,357,211.587452
-13.47,947,218.903735
-2.3,250,221.7391
-13.9,1000,223.858634
-12.2,900,228.271794
-14.0,1000,232.636281
-9.05,705,236.378132
-14.1,1000,240.67199
-12.9,1000,244.913466
-13.1,1000,249.202381
-11.15,875,253.235712
-13.7,1000,257.273123
-9.55,815,261.113542
-2.32,222,261.530338
-3.72,332,262.200166
-12.8,1000,269.820224
-14.2,1000,274.272626
0.85,15,274.311479
-7.08,668,278.20482
-11.33,973,282.616837
-0.92,132,282.867267
-13.3,1000,289.020408
-3.43,313,289.628013
-4.4,430,294.33156
-12.5,1000,298.563836
-6.09,519,299.564696
-4.66,476,300.45735
-13.3,1000,306.515899
-12.2,1000,310.464166
-4.02,342,313.175898
-13.8,1000,317.525352
-12.2,1000,321.973995
-6.29,579,323.131283
-13.1,1000,329.083421
-13.0,1000,333.274086
-12.3,1000,337.610814
-12.6,1000,341.816871
-12.8,1000,345.862754
-11.9,1000,350.176476
-12.6,1000,354.305632
-11.9,1000,358.46509
-1.56,176,358.831402
-12.7,1000,364.633446
-11.9,1000,368.989703
-3.25,355,372.102347
-4.83,473,373.110549
-11.9,1000,379.026731
-12.9,1000,383.444489
-12.3,1000,387.549448
-12.1,1000,391.820625
-7.23,673,395.343036
-7.21,631,396.564104
-12.6,1000,402.52356
-3.07,317,403.141813
-11.6,1000,407.182465
-10.01,941,411.665116
-8.42,762,415.475817
-12.8,1000,419.820568
-2.79,309,420.413841
-11.0,1000,426.20209
-9.28,838,430.438781
-8.06,716,434.057295
-12.4,1000,438.411067
-11.5,1000,442.680396
-11.7,1000,447.076359
-12.5,1000,451.388808
-11.5,1000,455.718999
-10.08,918,459.975719
-11.7,1000,464.166674
-12.2,1000,468.457151
-11.7,1000,472.894825
-13.0,1000,477.191782
-12.2,1000,481.562309
-11.9,1000,485.461624
-2.01,271,486.017524
-9.6,870,491.479969
-11.5,1000,495.755351
-11.0,1000,499.951577
-12.5,1000,504.124506
-1.29,199,504.504695
-11.3,1000,510.502225
-10.66,966,514.603153
-12.8,1000,518.803769
-12.4,1000,523.165119
-11.6,1000,527.536118
-2.56,276,528.061765
-0.16,116,528.284146
-8.9,800,535.699086
-12.2,1000,539.883984
-2.38,288,540.43858
-6.29,599,545.765286
-11.9,1000,550.075276
-11.9,1000,554.22048
-1.75,255,554.742188
-12.3,1000,560.653527
-12.3,1000,565.005402
-11.1,1000,569.346336
-6.73,653,570.596467
-12.9,1000,576.701032
-11.2,1000,580.907038
-11.8,1000,585.205456
-11.8,1000,589.382827
-11.4,1000,593.719964
-7.94,764,597.530616
-11.3,1000,601.818256
-2.02,272,602.364089
-11.1,1000,608.118372
-1.77,237,608.593646
-12.2,1000,614.611857
-6.41,631,618.051039
-11.3,1000,622.531147
-2.33,323,623.175643
-11.6,1000,629.379927
-11.5,1000,633.703172
-11.7,1000,638.177469
-10.11,891,642.374191
