#{"t_start": 1762446248.9093583, "env_id": "None"}
r,l,t
-31.8,1000,5.024579
-26.7,1000,10.599571
-20.5,1000,16.02553
-18.1,1000,21.288282
-17.9,1000,27.01982
-11.0,1000,33.381124
-11.0,1000,39.474337
-10.4,1000,45.553843
-10.3,1000,51.699233
-10.4,1000,19937.057954
-10.6,1000,19942.739701
-10.1,1000,19948.35577
-10.1,1000,19954.04161
-10.0,1000,19959.740997
-10.0,1000,19965.135232
-10.0,1000,19970.413599
-10.1,1000,19975.838176
-10.0,1000,19981.099527
-10.1,1000,19986.270841
-10.0,1000,19991.476957
-10.0,1000,19996.733537
-12.1,1000,20001.498182
-10.1,1000,20006.648946
-37.0,1000,20011.723562
-13.1,1000,20016.828973
-13.8,1000,20021.626679
-10.3,1000,20026.567227
-10.1,1000,20031.2824
-11.3,1000,20036.09263
-10.0,1000,20040.941975
-10.0,1000,20046.195971
-10.1,1000,20050.997508
-10.3,1000,20055.981079
-10.8,1000,20060.108685
-10.2,1000,20064.389597
-10.0,1000,20068.755326
-10.0,1000,20072.899119
-10.0,1000,20077.078902
-10.0,1000,20081.488067
-11.0,1000,20085.727316
-17.3,1000,20090.047694
-10.5,1000,20094.194337
-10.3,1000,20098.001981
-10.2,1000,20102.147046
-10.2,1000,20106.435553
-46.0,1000,20110.751226
-91.3,1000,20115.077617
-10.2,1000,20119.444704
-13.0,1000,20123.765368
-11.1,1000,20128.083021
-10.0,1000,20132.592056
-10.1,1000,20137.113207
-10.3,1000,20141.708009
-10.1,1000,20145.941431
-10.2,1000,20150.547098
-10.0,1000,20155.125947
-10.0,1000,20159.886917
-10.0,1000,20164.507081
-10.1,1000,20169.014191
-10.2,1000,20173.496099
-10.0,1000,20178.08128
-12.5,1000,20182.567418
-13.0,1000,20187.27635
-11.3,1000,20191.650281
-10.0,1000,20196.515366
-10.0,1000,20201.307051
-10.0,1000,20206.296227
-10.0,1000,20211.288568
-10.0,1000,20216.313156
-10.0,1000,20221.481171
-10.0,1000,20226.578312
-10.0,1000,20231.645778
-10.0,1000,20236.770005
-10.0,1000,20241.771952
-10.0,1000,20246.182445
-10.1,1000,20251.321052
-10.2,1000,20256.345235
-11.0,1000,20261.092844
-9.9,1000,20265.837288
-9.9,1000,20270.832372
-9.9,1000,20275.951467
-9.9,1000,20280.923308
-9.9,1000,20285.904215
-9.9,1000,20291.165953
-16.8,1000,20296.165487
-10.0,1000,20300.6912
-9.9,1000,20305.57008
-10.0,1000,20310.27145
-10.0,1000,20315.23264
-10.0,1000,20320.154393
-16.9,1000,20325.223182
-10.0,1000,20330.129897
-10.0,1000,20335.124564
-11.2,1000,20339.925069
-10.0,1000,20344.703186
-10.3,1000,20348.804519
-10.2,1000,20353.743141
-10.2,1000,20358.598898
-10.3,1000,20363.452737
-10.1,1000,20368.211971
-10.3,1000,20372.940476
-10.4,1000,20377.700185
-10.2,1000,20382.479023
-10.1,1000,20387.29159
-10.0,1000,20392.198731
-10.0,1000,20397.092563
-10.0,1000,20401.3729
-10.0,1000,20406.206716
-10.0,1000,20410.794789
-10.0,1000,20415.582825
-10.0,1000,20420.3485
-10.0,1000,20425.244874
-10.0,1000,20430.327975
-10.0,1000,20435.078828
-10.0,1000,20439.864413
-11.0,1000,20444.937156
-12.3,1000,20450.048167
-10.1,1000,20454.578209
-10.3,1000,20459.547489
-10.0,1000,20464.349864
-10.0,1000,20469.186597
-10.1,1000,20474.107849
-10.0,1000,20478.997597
-10.1,1000,20483.748011
-10.0,1000,20488.508694
-10.0,1000,20493.302166
-10.0,1000,20497.905302
-10.0,1000,20502.215712
-10.0,1000,20507.32048
-10.0,1000,20512.041768
-10.0,1000,20516.967298
-10.0,1000,20521.859356
-10.4,1000,20527.013669
-10.0,1000,20532.021294
-10.0,1000,20536.836718
-10.1,1000,20541.960377
-10.7,1000,20546.816358
-10.0,1000,20551.583376
-10.0,1000,20555.825986
-10.1,1000,20560.525766
-10.2,1000,20565.188659
-10.0,1000,20569.935174
-10.0,1000,20574.723263
-10.0,1000,20579.490613
-10.0,1000,20584.342555
-10.0,1000,20589.34502
-10.0,1000,20594.179494
-10.0,1000,20598.841985
-10.0,1000,20603.283491
-10.0,1000,20607.492534
-10.0,1000,20612.127604
-10.0,1000,20616.886206
-10.0,1000,20621.62408
-10.0,1000,20626.520965
-10.0,1000,20631.413143
-10.0,1000,20636.159139
-10.0,1000,20640.960008
-10.0,1000,20645.814071
-10.0,1000,20650.363224
-10.0,1000,20654.508498
-10.0,1000,20659.049909
-10.0,1000,20663.618502
-10.0,1000,20668.498572
-10.0,1000,20673.415026
-10.1,1000,20678.374944
-10.0,1000,20683.309043
-10.0,1000,20688.375221
-10.0,1000,20692.95516
-10.0,1000,20697.590934
-10.0,1000,20702.207447
-10.0,1000,20706.460084
-10.0,1000,20711.076824
-10.0,1000,20715.760341
-10.0,1000,20720.563765
-10.0,1000,20725.524663
-10.4,1000,20730.295339
-10.8,1000,20734.926662
-10.0,1000,20739.474556
-10.1,1000,20743.983367
-10.6,1000,20748.229
-10.0,1000,20752.65435
-10.2,1000,20756.788767
-10.0,1000,20761.290633
-10.0,1000,20765.805977
-10.1,1000,20770.26547
-10.0,1000,20774.799159
-10.0,1000,20779.417406
-10.0,1000,20783.798415
-10.0,1000,20788.351192
-10.0,1000,20792.832735
