#{"t_start": 1763798631.275127, "env_id": "None"}
r,l,t
-5.1,200,0.910344
-5.1,200,1.895736
-6.5,200,2.81297
-5.6,200,3.71562
-5.8,200,4.598763
-5.9,200,17.341539
-6.8,200,18.259736
-6.7,200,19.157299
-5.3,200,20.086383
-5.9,200,21.019437
-5.2,200,32.746181
-4.4,200,33.629463
-5.3,200,34.588734
-4.6,200,35.492151
-4.6,200,36.415635
-5.7,200,47.785842
-5.9,200,48.708651
-6.7,200,49.635058
-7.2,200,50.571021
-4.5,200,51.471838
-4.1,200,63.464043
-3.9,200,64.457983
-5.8,200,65.37125
-4.2,200,66.254152
-5.3,200,67.129299
-5.5,200,79.518014
-3.5,200,80.426118
-4.1,200,81.317322
-6.1,200,82.207107
-6.4,200,83.112281
-3.8,200,95.023612
-5.7,200,95.913834
-5.2,200,96.828301
-4.2,200,97.729372
-4.2,200,98.619217
-5.0,200,110.133027
-2.8,200,111.042125
-4.8,200,111.924202
-2.9,200,112.75325
-4.0,200,113.540849
-4.8,200,124.439514
-6.2,200,125.113613
-3.7,200,125.807178
-4.8,200,126.483476
-3.8,200,127.164503
-5.2,200,127.860342
-5.5,200,139.53334
-2.7,200,140.207479
-3.4,200,140.898468
-5.4,200,141.54492
-4.7,200,142.212563
-4.9,200,153.445248
-4.1,200,154.148336
-3.4,200,154.86528
-3.1,200,155.519634
-3.1,200,156.197762
-5.5,200,166.738831
-6.8,200,167.3865
-6.5,200,168.052716
-6.0,200,168.714972
-5.1,200,169.394562
-3.5,200,180.180156
-3.0,200,180.891358
-4.1,200,181.558789
-2.5,200,182.237673
-4.0,200,182.91345
-3.6,200,193.869793
-3.4,200,194.601976
-2.8,200,195.303951
-4.3,200,196.011469
-3.7,200,196.675395
-3.7,200,207.689981
-3.0,200,208.345554
-4.9,200,208.996384
-3.0,200,209.665246
-2.8,200,210.329774
-2.4,200,220.908454
-3.1,200,221.551554
-5.2,200,222.209558
-5.1,200,222.867394
-3.4,200,223.539693
-3.3,200,234.167246
-2.9,200,234.822393
-3.6,200,235.475049
-5.0,200,236.134916
-2.8,200,236.804643
-4.9,200,237.489123
-3.7,200,248.950187
-3.9,200,249.667076
-3.3,200,250.359219
-2.6,200,251.057269
-3.4,200,251.734566
-2.4,200,262.31365
-3.1,200,262.991369
-2.6,200,263.660466
-2.9,200,264.322527
-2.9,200,264.980293
-2.6,200,275.648463
-5.2,200,276.297237
-5.9,200,276.939202
-3.3,200,277.584926
-3.9,200,278.248113
-3.3,200,289.192677
-2.7,200,289.858684
-3.9,200,290.517888
-4.3,200,291.217021
-2.2,200,291.906656
-3.2,200,302.614492
-2.4,200,303.276721
-2.9,200,303.946922
-2.5,200,304.624331
-3.5,200,305.314904
-3.1,200,316.138781
-3.6,200,316.812897
-3.1,200,317.493114
-2.9,200,318.159422
-3.2,200,318.871093
-2.1,200,329.702451
-4.0,200,330.361541
-2.7,200,331.060912
-3.4,200,331.71955
-3.3,200,332.385065
-3.8,200,342.908274
-2.1,200,343.576344
-2.4,200,344.246079
-2.7,200,344.927151
-2.9,200,345.593038
-2.2,200,346.258513
-2.3,200,356.845469
-2.9,200,357.509476
-2.9,200,358.159076
-3.0,200,358.869299
-2.0,200,359.600729
-2.5,200,370.593722
-2.4,200,371.275151
-2.5,200,371.941078
-2.5,200,372.617175
-2.5,200,373.365079
-2.4,200,383.985886
-2.4,200,384.648105
-2.3,200,385.321172
-2.6,200,386.00967
-2.0,200,386.682873
-2.6,200,397.57709
-2.2,200,398.238877
-2.3,200,398.906643
-2.2,200,399.562039
-2.2,200,400.226053
-2.4,200,410.883498
-2.1,200,411.54286
-2.2,200,412.236895
-2.1,200,412.90236
-2.1,200,413.576657
-2.0,200,424.222332
-2.0,200,424.883614
-2.1,200,425.540304
-2.3,200,426.198653
-2.2,200,426.906874
-2.1,200,437.787537
-2.1,200,438.466834
-2.1,200,439.105434
-2.0,200,439.772788
-2.1,200,440.433437
-2.0,200,450.97244
-2.2,200,451.661854
-2.0,200,452.299238
-2.0,200,452.932681
-2.0,200,453.579668
-2.3,200,464.452465
-2.0,200,465.111304
-2.2,200,465.787756
-2.1,200,466.454547
-2.1,200,467.14167
-2.0,200,467.802406
-2.1,200,478.375703
-2.4,200,479.058772
-2.4,200,479.780512
-2.1,200,480.449646
-2.0,200,481.13494
-2.0,200,492.007953
-2.2,200,492.68468
-2.2,200,493.344955
-2.1,200,494.013666
-2.1,200,494.695305
-2.0,200,505.625643
-2.2,200,506.296683
-2.1,200,506.997216
-2.1,200,507.664745
-2.0,200,508.338644
-2.0,200,519.481374
-2.4,200,520.161219
-2.0,200,520.817555
-2.1,200,521.473667
-2.1,200,522.158725
-2.0,200,533.364672
-2.0,200,534.059799
-2.0,200,534.730274
-2.0,200,535.391441
-2.0,200,536.076994
-2.0,200,547.203134
-2.3,200,547.866602
-2.0,200,548.533346
-2.0,200,549.206008
-2.2,200,549.874927
-2.0,200,560.486967
-2.1,200,561.162318
-2.0,200,561.818645
-2.0,200,562.477626
-2.0,200,563.174034
-2.0,200,574.014234
-2.0,200,574.691391
-2.2,200,575.358234
-2.0,200,576.018607
-2.3,200,576.663769
-2.0,200,577.30702
-2.1,200,588.402686
-2.3,200,589.063684
-2.0,200,589.765024
-1.9,200,590.496328
-2.0,200,591.204341
-2.1,200,601.773527
-2.0,200,602.428869
-2.0,200,603.124471
-2.1,200,603.827597
-2.0,200,604.485532
-2.1,200,615.320311
-2.5,200,616.010403
-2.0,200,616.678884
-2.2,200,617.348683
-2.0,200,618.015131
-2.0,200,629.283762
-2.0,200,629.971399
-2.0,200,630.642122
-2.1,200,631.327118
-2.0,200,631.994452
-2.3,200,642.448827
-2.0,200,643.108614
-2.0,200,643.790551
-2.4,200,644.441679
-2.1,200,645.124593
-2.2,200,656.231239
-2.0,200,656.962805
-2.1,200,657.753223
-2.2,200,658.427958
-1.9,200,659.087259
-2.0,200,669.735579
-2.0,200,670.406724
-2.0,200,671.069204
-2.0,200,671.802763
-2.2,200,672.485896
-2.1,200,683.359744
-2.0,200,684.042431
-2.0,200,684.705183
-2.1,200,685.366963
-2.1,200,686.029166
-2.1,200,686.697587
-2.0,200,697.508933
-2.0,200,698.144148
-2.0,200,698.812011
-2.0,200,699.464557
-2.0,200,700.144929
-2.1,200,711.10766
-2.0,200,711.768153
-2.0,200,712.412825
-2.0,200,713.06954
-2.1,200,713.701168
-2.0,200,724.075034
-2.0,200,724.748347
-2.0,200,725.429943
-2.0,200,726.087277
-2.0,200,726.751846
-2.2,200,738.176169
-2.0,200,738.835088
-2.0,200,739.494506
-2.2,200,740.145155
-2.2,200,740.811284
-2.0,200,751.72528
-2.0,200,752.406348
-2.0,200,753.106
-2.0,200,753.780249
-2.2,200,754.445887
-2.0,200,765.769257
-2.1,200,766.434023
-2.0,200,767.107145
-2.0,200,767.755968
-2.1,200,768.412574
-2.0,200,779.17722
-2.1,200,779.84996
-2.0,200,780.543381
-2.0,200,781.266261
-2.0,200,781.969116
-2.1,200,792.7456
-2.0,200,793.406038
-2.1,200,794.091812
-2.0,200,794.746182
-2.0,200,795.453507
-2.0,200,806.066722
-2.1,200,806.736459
-2.0,200,807.417597
-2.0,200,808.089395
-2.0,200,808.76146
-2.0,200,809.443923
-2.0,200,820.276208
-2.0,200,820.931269
-2.0,200,821.59391
-2.0,200,822.265305
-2.0,200,822.958805
-2.0,200,833.806921
-2.0,200,834.457555
-2.0,200,835.102881
-2.0,200,835.763554
-2.1,200,836.464044
-2.0,200,846.981172
-2.0,200,847.66499
-2.0,200,848.328533
-2.0,200,849.016703
-2.1,200,849.689912
-2.0,200,860.362869
-2.1,200,861.032745
-2.0,200,861.702005
-2.1,200,862.355919
-2.0,200,863.023325
-2.1,200,874.087788
-2.1,200,874.747237
-2.0,200,875.450361
-2.1,200,876.122672
-2.0,200,876.793335
-2.0,200,886.944147
-2.0,200,887.603665
-2.0,200,888.281609
-2.0,200,888.95435
-2.0,200,889.622973
-2.0,200,900.163821
-2.0,200,900.834432
-2.0,200,901.541027
-2.0,200,902.225424
-2.0,200,902.912322
-2.0,200,914.092237
-2.0,200,914.784423
-2.0,200,915.483231
-2.0,200,916.19417
-2.0,200,916.886739
-2.1,200,917.589637
-2.0,200,929.57225
