#{"t_start": 1763837620.3947735, "env_id": "None"}
r,l,t
-35.4,1000,6.580386
-26.7,1000,15.737524
-29.1,1000,23.736245
-43.56,966,31.609741
-35.2,1000,40.011705
-31.3,1000,48.449565
-25.6,1000,56.824137
-24.8,1000,65.121678
-20.2,1000,73.702864
-20.8,1000,82.25495
-19.1,1000,90.742686
-16.4,1000,99.036
-14.7,1000,107.546952
-15.5,1000,115.90799
-12.8,1000,123.930485
-13.0,1000,132.142956
-11.1,1000,140.367803
-12.5,1000,148.695506
-11.6,1000,157.026571
-12.0,1000,165.325619
-11.4,1000,173.688664
-10.7,1000,181.991062
-11.0,1000,190.446045
-11.0,1000,198.65786
-10.6,1000,206.861859
-10.4,1000,214.911585
-10.4,1000,223.027221
-10.4,1000,231.201078
-10.8,1000,239.393382
-12.0,1000,247.568098
-10.4,1000,255.723454
-10.3,1000,263.884519
-10.4,1000,272.103638
-10.3,1000,279.937995
-10.2,1000,287.860343
-10.2,1000,295.858862
-10.1,1000,304.350216
-10.3,1000,312.501712
-10.2,1000,320.534863
-10.0,1000,328.618589
-10.1,1000,336.312919
-10.1,1000,341.007176
-10.0,1000,349.363269
-10.1,1000,356.837981
-10.0,1000,364.744346
-10.0,1000,373.300776
-10.2,1000,381.346455
-10.0,1000,389.094077
-10.0,1000,397.230202
-10.1,1000,405.229532
-10.0,1000,413.359595
-10.2,1000,421.26247
-10.3,1000,429.42888
-10.2,1000,437.36802
-10.1,1000,445.378186
-10.1,1000,453.403894
-10.1,1000,461.535937
-10.1,1000,469.509653
-10.0,1000,477.500504
-10.0,1000,485.531417
-10.1,1000,493.487058
-10.0,1000,501.409016
-10.0,1000,509.786748
-10.0,1000,518.082474
-10.0,1000,526.285566
-10.1,1000,534.745424
-10.0,1000,542.909952
-10.0,1000,551.243881
-10.0,1000,559.447636
-10.1,1000,567.586545
-10.0,1000,575.814904
-10.1,1000,583.84407
-10.0,1000,591.935442
-10.1,1000,599.688516
-10.1,1000,606.90658
-10.1,1000,613.969798
-10.0,1000,620.931924
-10.0,1000,628.193525
-10.0,1000,635.469067
-10.0,1000,642.766808
-10.0,1000,649.944235
-10.1,1000,656.861476
-10.0,1000,663.800924
-10.0,1000,667.969079
-10.0,1000,675.530859
-10.0,1000,682.657181
-10.0,1000,689.707922
-10.0,1000,696.918952
-10.2,1000,704.131799
-10.0,1000,711.266301
-10.0,1000,718.416544
-10.0,1000,725.772765
-10.0,1000,732.890882
-10.1,1000,739.928179
-10.0,1000,747.14467
-10.0,1000,754.101094
-10.0,1000,761.202239
-10.2,1000,768.239962
-10.1,1000,775.761625
-10.1,1000,783.086777
-10.0,1000,790.64567
-10.1,1000,798.074137
-10.1,1000,805.335001
-10.0,1000,812.897116
-10.1,1000,820.295436
-10.0,1000,827.346452
-10.0,1000,834.883838
-10.4,1000,842.515119
-10.1,1000,849.95396
-9.9,1000,857.363459
-10.0,1000,864.729053
-10.0,1000,872.237633
-10.0,1000,879.642624
-10.1,1000,887.008561
-10.1,1000,894.613897
-10.2,1000,902.081279
-10.0,1000,909.875819
-10.1,1000,917.922819
-10.0,1000,926.051622
-10.1,1000,933.658963
-10.0,1000,941.069062
-10.2,1000,948.559597
-10.0,1000,955.771808
-10.0,1000,962.976612
-9.9,1000,970.005808
-10.1,1000,977.098917
-10.0,1000,981.32981
-10.0,1000,988.85411
-10.1,1000,996.031137
-10.1,1000,1003.013243
-10.0,1000,1009.981643
-10.0,1000,1017.305368
-10.0,1000,1024.69114
-10.6,1000,1032.308008
-10.1,1000,1039.967035
-10.2,1000,1047.649036
-10.0,1000,1054.920099
-10.0,1000,1061.80349
-10.7,1000,1068.860855
-10.3,1000,1076.128572
-10.0,1000,1083.502023
-10.2,1000,1090.866134
-10.0,1000,1098.29585
-10.0,1000,1105.696741
-10.0,1000,1113.089865
-10.1,1000,1120.51345
-10.2,1000,1127.896534
-10.0,1000,1135.274562
-10.0,1000,1142.695696
-10.1,1000,1150.171949
