#{"t_start": 1763679125.3845766, "env_id": "None"}
r,l,t
-38.3,1000,8.451216
-36.3,880,15.433873
-35.9,1000,23.383438
-31.6,1000,31.550334
-23.3,1000,39.602996
-32.1,1000,46.31293
-25.0,1000,53.942185
-22.3,1000,61.719597
-19.4,1000,69.568138
-22.4,1000,77.639374
-25.0,1000,85.659482
-24.8,1000,93.692161
-19.2,1000,101.737477
-19.0,1000,109.733734
-19.3,1000,117.946574
-18.6,1000,125.692821
-18.8,1000,133.997113
-19.2,1000,143.775028
-21.2,1000,153.680778
-16.7,1000,163.936705
-17.9,1000,174.118766
-16.2,1000,184.4695
-29.8,1000,193.915113
-17.5,1000,204.125993
-19.0,1000,214.362029
-18.8,1000,224.256563
-20.5,1000,233.024405
-18.8,1000,243.066051
-23.2,1000,253.134639
-17.6,1000,263.008579
-14.0,1000,272.413096
-14.9,1000,282.456653
-19.7,1000,292.448421
-17.2,1000,302.379037
-17.2,1000,312.484198
-13.9,1000,322.354224
-19.5,1000,332.530228
-17.3,1000,341.332638
-16.4,1000,351.262071
-18.2,1000,360.927337
-19.3,1000,369.945985
-14.4,1000,379.808553
-19.9,1000,389.978506
-14.7,1000,399.853458
-13.6,1000,409.839498
-19.6,1000,419.752096
-17.6,1000,429.761486
-17.7,1000,439.727147
-18.0,1000,448.226199
-19.8,1000,458.143752
-25.3,1000,468.027345
-17.7,1000,477.370324
-13.9,1000,486.538708
-17.4,1000,495.824442
-18.8,1000,505.333493
-18.1,1000,515.23628
-19.0,1000,525.162946
-30.0,1000,534.988122
-14.3,1000,543.561874
-18.0,1000,553.805158
-22.5,1000,563.953555
-16.1,1000,574.122976
-17.9,1000,584.226035
-17.7,1000,594.325216
-18.3,1000,604.387692
-19.6,1000,614.464696
-18.3,1000,624.322549
-13.7,1000,634.293371
-19.0,1000,643.892076
-15.1,1000,652.375597
-17.2,1000,662.197266
-16.2,1000,671.750824
-17.9,1000,681.421206
-16.0,1000,690.889967
-16.9,1000,700.889009
-18.5,1000,710.523029
-14.1,1000,720.374813
-15.5,1000,730.302445
-20.1,1000,740.163779
-17.8,1000,750.159765
-15.9,1000,758.603304
-14.6,1000,768.557598
-14.5,1000,778.27582
-17.3,1000,788.285965
-21.7,1000,798.355761
-15.5,1000,808.091387
-17.0,1000,817.985371
-18.2,1000,827.774979
-14.4,1000,837.599306
-22.4,1000,847.258718
-17.1,1000,855.87375
-15.0,1000,865.863495
-20.4,1000,876.172128
-17.9,1000,886.173702
-15.5,1000,896.152416
-17.7,1000,906.09517
-20.4,1000,916.188846
-15.1,1000,926.158901
-15.4,1000,936.011397
-15.7,1000,944.958143
-17.5,1000,954.157828
-15.2,1000,962.607441
-13.8,1000,972.577049
-17.5,1000,982.658621
-17.8,1000,992.452463
-19.6,1000,1001.802563
-18.3,1000,1011.567526
-16.5,1000,1021.601038
-14.7,1000,1031.429374
-14.4,1000,1041.434583
-12.5,1000,1051.468
-16.7,1000,1061.522813
-16.0,1000,1069.971281
-17.4,1000,1079.900247
-15.0,1000,1089.732969
-21.4,1000,1099.758775
-17.5,1000,1109.490697
-18.1,1000,1119.489228
-14.0,1000,1129.402571
-14.3,1000,1139.247623
-21.0,1000,1148.830854
-16.4,1000,1158.743638
-17.1,1000,1166.53623
-17.0,1000,1176.159887
-14.4,1000,1186.112315
-18.5,1000,1196.060877
-20.9,1000,1205.977491
-19.4,1000,1215.804071
-17.3,1000,1224.914607
-17.8,1000,1234.561383
-18.1,1000,1243.527658
-20.1,1000,1253.308515
-20.8,1000,1263.176323
-17.9,1000,1271.672923
-14.4,1000,1281.502078
-13.0,1000,1291.360756
-19.6,1000,1301.15594
-20.1,1000,1310.652402
-14.3,1000,1320.637409
-20.2,1000,1330.138007
-18.8,1000,1339.473041
-22.7,1000,1348.444575
-19.7,1000,1357.533928
-17.4,1000,1366.737658
-17.0,1000,1374.926639
-15.9,1000,1384.259983
-17.5,1000,1393.282815
-19.4,1000,1402.45971
-19.3,1000,1412.038797
-20.5,1000,1422.377395
-16.7,1000,1432.537243
-18.9,1000,1442.613564
-18.4,1000,1452.59517
-21.0,1000,1462.431014
-14.3,1000,1470.92317
-14.5,1000,1480.767381
-14.9,1000,1490.177312
-19.6,1000,1500.014174
-17.9,1000,1510.039601
-19.9,1000,1520.04964
-14.6,1000,1529.855961
-16.3,1000,1539.775228
-21.8,1000,1549.749267
-28.0,1000,1559.786441
-19.3,1000,1569.791113
-23.6,1000,1578.120306
-29.4,1000,1587.989686
-26.4,1000,1597.543606
-32.3,1000,1607.269064
-18.3,1000,1617.842385
-18.6,1000,1628.066748
-26.1,1000,1638.249638
-19.4,1000,1648.132192
-14.9,1000,1657.551099
-16.3,1000,1667.464374
-18.4,1000,1677.501332
-16.9,1000,1685.957894
-19.6,1000,1696.067907
-15.2,1000,1706.345897
-14.7,1000,1716.469949
-13.5,1000,1726.13891
-13.8,1000,1736.375901
-12.6,1000,1745.770766
-15.8,1000,1754.648051
-13.3,1000,1764.788202
-12.3,1000,1774.507596
-11.9,1000,1783.031894
-11.6,1000,1792.925143
-12.5,1000,1802.734812
-12.3,1000,1812.370646
-12.0,1000,1822.184122
-14.5,1000,1832.185213
-11.0,1000,1842.258353
-13.4,1000,1852.269772
-12.1,1000,1862.244142
-10.9,1000,1872.286343
-10.4,1000,1882.349218
-11.7,1000,1890.781794
-10.9,1000,1900.520006
-10.4,1000,1910.416386
-10.3,1000,1920.411004
-10.3,1000,1930.084955
-10.6,1000,1939.961111
-10.5,1000,1949.428529
-10.2,1000,1958.957164
-10.3,1000,1968.277766
-10.7,1000,1978.165397
-10.1,1000,1988.006227
-10.1,1000,1996.646345
-10.2,1000,2006.625099
-10.1,1000,2015.77298
-10.3,1000,2025.481796
-10.3,1000,2035.379355
-10.1,1000,2045.452299
-10.2,1000,2055.679018
-10.2,1000,2065.064242
-10.4,1000,2075.000875
-10.1,1000,2085.22062
-10.5,1000,2094.169729
-10.2,1000,2104.315033
-10.1,1000,2114.325453
-10.1,1000,2124.533934
-12.8,1000,2134.063382
-10.8,1000,2144.338348
-10.0,1000,2154.240025
-10.1,1000,2163.986445
-10.7,1000,2173.526578
-10.6,1000,2183.179269
-11.1,1000,2193.149673
-12.2,1000,2201.8544
-10.8,1000,2211.492635
-10.2,1000,2221.440591
-10.2,1000,2231.528334
-10.1,1000,2241.833955
-10.1,1000,2252.189497
-10.2,1000,2262.320794
-10.4,1000,2272.313334
-10.2,1000,2282.183064
-10.3,1000,2292.007952
-10.7,1000,2301.526233
-10.0,1000,2310.118644
-16.1,1000,2320.203595
-10.7,1000,2330.373556
-10.0,1000,2340.598329
-14.0,1000,2350.598887
-10.2,1000,2360.73985
-10.1,1000,2370.815802
-10.1,1000,2380.872641
-10.0,1000,2390.896163
-10.0,1000,2400.965328
-10.1,1000,2409.554893
-10.1,1000,2419.049886
-10.0,1000,2428.510006
-10.1,1000,2438.622149
-10.0,1000,2448.535531
-10.0,1000,2458.55315
-10.1,1000,2468.512699
-10.1,1000,2478.564699
-10.1,1000,2488.530986
-10.0,1000,2498.57046
-10.0,1000,2508.094517
-10.0,1000,2516.503636
-10.2,1000,2526.331085
-10.1,1000,2536.264985
-10.0,1000,2545.861194
-10.0,1000,2555.877403
-10.2,1000,2566.031355
-10.3,1000,2575.968216
-10.0,1000,2586.288116
-10.0,1000,2596.368642
-10.1,1000,2606.684491
-10.1,1000,2616.805033
-10.0,1000,2625.400488
-10.0,1000,2635.309443
-10.0,1000,2645.055624
-10.1,1000,2655.170778
-10.0,1000,2665.101035
-10.0,1000,2674.755438
-10.0,1000,2684.792828
-10.0,1000,2694.391236
-10.0,1000,2704.52153
-10.0,1000,2714.681261
-10.0,1000,2723.115606
-10.1,1000,2733.211098
-10.2,1000,2743.368872
-10.0,1000,2753.168968
-10.0,1000,2763.131383
-10.0,1000,2773.305735
-10.0,1000,2783.013729
-10.0,1000,2792.8756
-10.0,1000,2802.116014
-10.0,1000,2812.297192
-10.1,1000,2822.448796
-10.1,1000,2831.017439
-10.0,1000,2840.933536
-10.0,1000,2850.974121
-10.0,1000,2861.047003
-10.0,1000,2871.074128
-10.0,1000,2880.596266
-10.0,1000,2890.782344
-10.0,1000,2900.898558
-10.0,1000,2910.894874
-10.0,1000,2920.654385
-10.0,1000,2930.792783
-10.1,1000,2939.188531
-10.0,1000,2948.616517
-10.0,1000,2958.612356
-10.0,1000,2968.685253
-10.0,1000,2978.709378
-10.1,1000,2988.858156
-10.0,1000,2998.753017
-10.0,1000,3007.935707
-10.0,1000,3017.73063
-10.1,1000,3027.958504
-10.0,1000,3036.427938
-10.0,1000,3046.264979
-10.0,1000,3055.910627
-10.0,1000,3065.715394
-10.1,1000,3075.544895
-10.0,1000,3085.744525
-10.0,1000,3095.554366
-10.0,1000,3105.422522
-10.2,1000,3114.998449
-10.0,1000,3124.489486
-10.0,1000,3133.937474
-10.2,1000,3142.267731
-10.4,1000,3151.925886
-13.0,1000,3161.793504
-14.0,1000,3171.907498
-10.3,1000,3182.102769
-10.2,1000,3192.460516
-10.0,1000,3202.594939
-10.1,1000,3212.923547
-10.0,1000,3223.057214
-10.1,1000,3232.484095
-12.5,1000,3242.739697
-10.1,1000,3250.683368
-10.0,1000,3260.015009
-10.0,1000,3269.774886
-10.1,1000,3279.533579
-10.0,1000,3289.364342
-10.0,1000,3299.467858
-10.0,1000,3309.725601
-10.0,1000,3319.55892
-10.3,1000,3329.741473
-10.0,1000,3339.826925
-10.2,1000,3348.302728
-15.5,1000,3357.929844
-11.0,1000,3367.789885
-10.0,1000,3377.661655
-9.9,1000,3387.222937
-13.6,1000,3397.072741
-10.1,1000,3406.975852
-11.9,1000,3416.966641
-10.0,1000,3427.031703
-10.1,1000,3436.419414
-10.9,1000,3446.372239
-11.5,1000,3454.860008
-10.1,1000,3465.008722
-10.0,1000,3475.034336
-10.0,1000,3484.990049
-10.2,1000,3495.08665
-10.0,1000,3505.186951
-11.0,1000,3514.666753
-10.0,1000,3524.148185
-10.1,1000,3533.448585
-10.0,1000,3543.495015
-33.1,1000,3553.443461
-11.2,1000,3561.830002
-13.8,1000,3571.064197
-14.5,1000,3580.495128
-10.0,1000,3590.228438
-10.0,1000,3599.618016
-10.0,1000,3609.422258
-10.0,1000,3618.921754
-10.0,1000,3628.774446
-10.0,1000,3637.672745
-10.0,1000,3647.221966
-10.1,1000,3655.644409
-10.3,1000,3664.782519
-10.0,1000,3673.76413
-10.0,1000,3683.736894
-10.0,1000,3693.636988
-10.0,1000,3703.172403
-14.8,1000,3713.186247
-26.2,1000,3723.204202
-10.1,1000,3732.965732
-10.0,1000,3742.844441
-10.0,1000,3752.838746
-10.0,1000,3760.958064
-10.0,1000,3770.352771
-10.2,1000,3780.161715
-10.1,1000,3790.050625
-10.0,1000,3799.671167
-10.0,1000,3809.536794
-10.0,1000,3819.330029
-10.1,1000,3828.7844
-29.5,1000,3838.332734
