#{"t_start": 1762404496.193446, "env_id": "None"}
r,l,t
-10.22,442,2.166413
-15.45,715,5.691801
-5.78,378,7.690058
-14.7,1000,12.197013
-11.9,1000,16.675581
-10.9,1000,21.238787
-10.0,1000,25.986941
-10.4,1000,30.637229
-10.1,1000,35.372836
-10.0,1000,40.138568
-10.7,1000,44.842255
-10.0,1000,49.55203
-10.0,1000,54.262372
-10.0,1000,58.242972
-10.0,1000,62.856088
-10.0,1000,67.203793
-10.0,1000,71.897694
-10.0,1000,76.626667
-10.0,1000,81.273137
-10.0,1000,85.876731
-10.0,1000,90.399197
-10.0,1000,95.129914
-10.0,1000,99.803221
-10.0,1000,104.294229
-10.0,1000,108.431361
-10.0,1000,112.964681
-9.9,1000,117.597634
-10.1,1000,122.285491
-9.9,1000,127.061961
-10.0,1000,131.838555
-10.2,1000,136.670681
-10.1,1000,141.353426
-9.9,1000,145.977642
-9.9,1000,150.475772
-10.0,1000,154.492044
-9.9,1000,159.05342
-10.0,1000,163.663959
-10.0,1000,168.325924
-9.9,1000,172.917009
-10.0,1000,177.389591
-9.9,1000,181.744998
-10.0,1000,186.23369
-9.9,1000,190.808646
-9.9,1000,195.33289
-10.2,1000,199.998142
-9.9,1000,204.089877
-10.2,1000,208.712808
-10.2,1000,213.292687
-10.0,1000,218.06496
-9.9,1000,222.788921
-10.4,1000,227.222045
-9.9,1000,231.74785
-9.9,1000,236.231016
-9.9,1000,240.794175
-10.1,1000,245.371118
-10.2,1000,249.863947
-10.0,1000,253.965599
-9.9,1000,258.557012
-9.9,1000,263.195291
-10.0,1000,267.745836
-10.1,1000,272.396502
-10.0,1000,277.098904
-10.1,1000,281.874885
-9.9,1000,286.60927
-9.9,1000,291.313605
-10.4,1000,296.159333
-9.9,1000,300.230584
-10.1,1000,304.81359
-10.0,1000,309.525677
-9.9,1000,314.099057
-10.0,1000,318.69848
-9.9,1000,323.301461
-10.1,1000,327.935203
-10.0,1000,332.634052
-9.9,1000,337.323487
-10.0,1000,342.060898
-10.0,1000,346.646025
-9.9,1000,350.820508
-9.9,1000,355.627971
-10.2,1000,360.225919
-10.0,1000,364.851411
-9.9,1000,369.498125
-9.9,1000,374.246943
-10.0,1000,378.793971
-10.3,1000,383.240951
-9.9,1000,387.833998
-10.0,1000,392.502199
-9.9,1000,396.933864
-9.9,1000,401.166982
-9.9,1000,405.728699
-10.0,1000,410.343897
-9.9,1000,414.922053
-9.9,1000,419.557729
-9.9,1000,424.204451
-9.9,1000,428.933829
-9.9,1000,433.629739
-10.0,1000,438.265914
-10.2,1000,442.656986
-10.0,1000,446.736562
-10.1,1000,451.436979
-10.3,1000,456.005368
-9.9,1000,460.937524
-10.0,1000,465.720094
-10.0,1000,470.505519
-10.3,1000,475.381968
-10.4,1000,480.067144
-10.0,1000,484.712353
-10.2,1000,489.367795
-10.1,1000,494.057244
-10.1,1000,498.200006
-10.1,1000,502.774027
-10.0,1000,507.464916
-10.4,1000,512.079422
-9.9,1000,516.84527
-9.9,1000,521.567187
-9.9,1000,526.212203
-10.1,1000,531.036661
-10.8,1000,535.757078
-10.1,1000,540.500346
-10.1,1000,545.035406
-9.9,1000,549.29458
-10.0,1000,553.899744
-10.0,1000,558.538457
-11.0,1000,563.270989
-10.0,1000,568.055379
-10.0,1000,572.877419
-10.1,1000,577.636594
-10.0,1000,582.346699
-10.0,1000,587.172014
-10.1,1000,591.939276
-9.9,1000,596.137967
-9.9,1000,600.838151
-9.9,1000,605.501852
-9.9,1000,610.101978
-9.9,1000,614.823328
-9.9,1000,619.530799
-9.9,1000,624.300656
-9.9,1000,628.919015
-9.9,1000,633.487412
-9.9,1000,638.009166
-9.9,1000,642.311658
-10.0,1000,646.124
-10.1,1000,650.565656
-9.9,1000,655.227946
-9.9,1000,659.82328
-9.9,1000,664.491632
-9.9,1000,669.054124
-9.9,1000,673.502856
-9.9,1000,678.05766
-9.9,1000,682.767027
-9.9,1000,687.466173
-9.9,1000,692.033278
-9.9,1000,696.305305
-9.9,1000,700.94767
-9.9,1000,705.274294
-9.9,1000,709.889437
-10.1,1000,714.679463
-10.0,1000,719.411905
-9.9,1000,724.062259
-10.0,1000,728.879659
-9.9,1000,733.596246
-9.9,1000,737.974324
-9.9,1000,742.015096
-9.9,1000,746.68793
-9.9,1000,751.24353
-9.9,1000,755.80255
-9.9,1000,760.385947
-9.9,1000,765.013031
-9.9,1000,769.657282
-10.0,1000,774.385533
-10.4,1000,778.919494
-10.1,1000,783.655101
-9.9,1000,788.171593
-10.6,1000,792.310133
-10.1,1000,796.900435
-9.9,1000,801.386029
-10.2,1000,805.922583
-10.7,1000,810.535414
-10.1,1000,815.175554
-10.6,1000,819.934532
-10.3,1000,824.575545
-10.1,1000,829.396187
-10.0,1000,834.131846
-10.0,1000,838.788815
-10.0,1000,843.104066
-9.9,1000,847.574378
-10.1,1000,852.252422
-9.9,1000,856.876853
-9.9,1000,861.169795
-10.3,1000,865.509201
-11.2,1000,870.148181
-10.2,1000,874.795994
-10.1,1000,879.253418
-10.4,1000,883.801929
-10.3,1000,887.972544
-9.9,1000,892.727056
-10.1,1000,897.210307
-10.1,1000,901.775351
-10.0,1000,906.498464
-10.0,1000,911.379852
-10.0,1000,916.212926
-10.0,1000,921.012472
-9.9,1000,925.806564
-10.2,1000,930.397736
-10.2,1000,935.195811
-10.7,1000,939.388691
-10.3,1000,944.075182
-10.3,1000,948.802022
-10.5,1000,953.52056
-10.3,1000,958.020957
-10.6,1000,962.698804
-10.0,1000,967.47143
-10.1,1000,972.189582
-10.3,1000,976.557824
-10.0,1000,981.327069
-10.0,1000,985.842465
-10.0,1000,990.203209
-11.5,1000,994.842623
-10.4,1000,999.613804
-10.3,1000,1004.454833
-10.2,1000,1009.253112
-10.2,1000,1014.036191
-10.1,1000,1018.70022
-10.2,1000,1023.410493
-10.3,1000,1028.145271
-9.9,1000,1033.039206
-10.0,1000,1037.243783
-10.1,1000,1041.927487
-9.9,1000,1046.498213
-10.0,1000,1051.060725
-10.1,1000,1055.732775
-10.0,1000,1060.515945
-10.3,1000,1065.184601
-10.4,1000,1069.778126
-10.4,1000,1074.482791
-9.9,1000,1079.129761
-10.1,1000,1083.580919
-10.2,1000,1087.577883
-10.0,1000,1092.178047
-9.9,1000,1096.615579
-10.3,1000,1101.307436
-9.9,1000,1105.98484
-10.0,1000,1110.735804
-9.9,1000,1115.564523
-10.1,1000,1120.315542
-9.9,1000,1125.175437
-10.1,1000,1129.865128
-10.1,1000,1134.351644
-9.9,1000,1138.616315
-9.9,1000,1143.311421
-10.1,1000,1147.904904
-10.3,1000,1152.542041
-10.1,1000,1157.141688
-12.1,1000,1161.705433
-10.5,1000,1166.148075
-10.0,1000,1170.809088
-10.2,1000,1175.396684
-9.9,1000,1180.244075
-10.0,1000,1184.452051
-13.9,1000,1189.096817
-10.6,1000,1193.682462
-10.2,1000,1198.345948
-10.1,1000,1202.993737
-9.9,1000,1207.501827
-9.9,1000,1211.954451
-9.9,1000,1216.497289
-9.9,1000,1221.233115
-9.9,1000,1225.966642
-10.0,1000,1230.505867
-9.9,1000,1234.697429
-10.1,1000,1239.226205
-10.1,1000,1243.779172
-9.9,1000,1248.320562
-9.9,1000,1252.997033
-10.2,1000,1257.639089
-9.9,1000,1262.316941
-9.9,1000,1266.831872
-10.2,1000,1271.451942
-10.1,1000,1276.053314
-10.0,1000,1280.474889
-10.0,1000,1284.572968
-10.0,1000,1289.239577
-9.9,1000,1293.777293
-9.9,1000,1298.46602
-10.0,1000,1303.190769
-9.9,1000,1308.011318
-10.3,1000,1312.504791
-10.2,1000,1317.074197
-10.1,1000,1321.38457
-10.2,1000,1325.712116
-10.0,1000,1329.737485
-10.0,1000,1334.42741
-9.9,1000,1339.090158
-10.2,1000,1343.704914
