#{"t_start": 1763354220.8807194, "env_id": "None"}
r,l,t
-2817.0,50,0.138574
-2322.0,50,0.266868
-2630.0,50,0.394372
-2784.0,50,0.523669
-2905.0,50,0.652641
-3059.0,50,3.486542
-2520.0,50,3.612998
-3037.0,50,3.741231
-3147.0,50,3.873506
-3081.0,50,4.000174
-3609.0,50,6.73951
-3323.0,50,6.86677
-3543.0,50,6.996383
-3048.0,50,7.127739
-3356.0,50,7.257195
-3312.0,50,9.876074
-3466.0,50,10.003674
-2971.0,50,10.135878
-3565.0,50,10.267347
-3587.0,50,10.400297
-2872.0,50,12.982085
-3037.0,50,13.10106
-3345.0,50,13.231971
-2289.0,50,13.360018
-3730.0,50,13.486093
-2531.0,50,16.123725
-2256.0,50,16.251304
-3037.0,50,16.378087
-2982.0,50,16.505251
-2047.0,50,16.635264
-2949.0,50,19.276269
-3026.0,50,19.413506
-2861.0,50,19.543943
-3224.0,50,19.67354
-3147.0,50,19.806226
-3048.0,50,22.44315
-3136.0,50,22.562852
-3235.0,50,22.681954
-2355.0,50,22.801754
-3521.0,50,22.921046
-2476.0,50,25.612438
-2971.0,50,25.736336
-2311.0,50,25.85872
-2949.0,50,25.98123
-2443.0,50,26.102951
-2432.0,50,26.226018
-3015.0,50,28.948149
-2322.0,50,29.06847
-3708.0,50,29.190053
-2553.0,50,29.310233
-2597.0,50,29.429021
-3070.0,50,32.159129
-2949.0,50,32.281113
-3213.0,50,32.402877
-2619.0,50,32.524057
-3114.0,50,32.644275
-3081.0,50,35.326784
-2894.0,50,35.447292
-3950.0,50,35.568505
-1904.0,50,35.688245
-2157.0,50,35.813354
-3202.0,50,38.461349
-3114.0,50,38.58257
-2696.0,50,38.703477
-2399.0,50,38.822509
-3224.0,50,38.942711
-2663.0,50,41.490769
-2608.0,50,41.613948
-3048.0,50,41.737143
-2685.0,50,41.859525
-3873.0,50,41.98116
-2531.0,50,44.64525
-3521.0,50,44.767406
-3312.0,50,44.888309
-2751.0,50,45.010838
-3235.0,50,45.13232
-1772.0,50,47.832939
-2784.0,50,47.955235
-3290.0,50,48.077432
-2652.0,50,48.198894
-2982.0,50,48.320916
-3521.0,50,51.084457
-2641.0,50,51.205411
-2476.0,50,51.327487
-3598.0,50,51.446567
-2597.0,50,51.567221
-2828.0,50,51.689144
-3741.0,50,54.475318
-2421.0,50,54.598354
-3092.0,50,54.719779
-2366.0,50,54.841849
-3367.0,50,54.96646
-3092.0,50,57.68438
-2982.0,50,57.806096
-3796.0,50,57.929293
-3455.0,50,58.051364
-3147.0,50,58.175058
-3070.0,50,60.891016
-2883.0,50,61.013351
-3026.0,50,61.135355
-2773.0,50,61.260763
-2828.0,50,61.383603
-3950.0,50,64.110812
-3301.0,50,64.233264
-3257.0,50,64.357773
-3246.0,50,64.482257
-2553.0,50,64.604061
-2795.0,50,67.230051
-2300.0,50,67.354228
-2993.0,50,67.47745
-3499.0,50,67.6003
-3180.0,50,67.72112
-3477.0,50,70.272836
-3202.0,50,70.394746
-3466.0,50,70.517003
-2806.0,50,70.641347
-2740.0,50,70.76273
-2839.0,50,73.371252
-2894.0,50,73.492112
-2366.0,50,73.615114
-2795.0,50,73.739748
-2487.0,50,73.865033
-3235.0,50,76.588654
-3477.0,50,76.710093
-3103.0,50,76.832765
-2630.0,50,76.956424
-3598.0,50,77.079401
-2751.0,50,77.201431
-3268.0,50,79.913074
-2696.0,50,80.036862
-3026.0,50,80.157074
-3268.0,50,80.279356
-3268.0,50,80.404282
-2399.0,50,83.106339
-3774.0,50,83.227336
-2949.0,50,83.351381
-2971.0,50,83.473918
-2410.0,50,83.597975
-2641.0,50,86.317438
-3301.0,50,86.441521
-3433.0,50,86.562625
-3400.0,50,86.686786
-3499.0,50,86.814981
-3279.0,50,89.443254
-2960.0,50,89.566229
-2498.0,50,89.686752
-3466.0,50,89.810311
-3048.0,50,89.935347
-3169.0,50,92.545224
-2685.0,50,92.667151
-2696.0,50,92.789111
-3510.0,50,92.911895
-3499.0,50,93.033091
-2971.0,50,95.614863
-3631.0,50,95.735159
-3334.0,50,95.856427
-2476.0,50,95.976988
-3169.0,50,96.09952
-3323.0,50,98.694608
-3389.0,50,98.816726
-1937.0,50,98.939261
-2641.0,50,99.06229
-2245.0,50,99.182274
-3136.0,50,101.845191
-2927.0,50,101.967458
-2652.0,50,102.090607
-3224.0,50,102.211071
-2784.0,50,102.333808
-3367.0,50,105.106522
-2168.0,50,105.229238
