#{"t_start": 1762529578.810202, "env_id": "None"}
r,l,t
-62269.0,1000,3.978906
-60916.0,1000,8.009722
-63127.0,1000,11.965501
-57000.0,1000,16.188987
-59145.0,1000,20.152192
-60223.0,1000,24.283795
-59343.0,1000,28.596101
-58936.0,1000,32.90693
-57275.0,1000,37.675008
-58936.0,1000,41.735394
-59145.0,1000,45.2896
-57605.0,1000,49.33894
-56285.0,1000,53.047305
-57528.0,1000,56.832573
-61235.0,1000,60.91674
-55185.0,1000,65.141939
-55273.0,1000,69.064027
-54811.0,1000,73.007274
-53117.0,1000,76.974666
-55251.0,1000,81.097082
-53040.0,1000,85.074983
-49179.0,1000,88.633353
-50246.0,1000,92.523428
-49245.0,1000,96.681271
-51588.0,1000,100.806339
-48453.0,1000,104.650136
-50323.0,1000,108.525743
-42304.0,1000,112.597821
-43547.0,1000,116.736051
-34417.0,1000,121.105483
-31788.0,1000,125.18266
-25947.0,1000,128.747109
-12285.0,1000,132.919035
-8611.0,1000,137.071373
-3815.0,1000,141.174487
-2495.0,1000,144.992952
-2825.0,1000,148.794508
-2528.0,1000,152.662601
-2374.0,1000,156.65298
-2374.0,1000,160.665763
-2187.0,1000,164.48809
-2165.0,1000,168.220985
-2077.0,1000,171.84214
-2099.0,1000,175.974228
-2187.0,1000,179.910949
-2176.0,1000,184.019632
-2154.0,1000,187.871149
-2198.0,1000,191.90689
-2440.0,1000,195.832749
-2165.0,1000,199.650656
-2748.0,1000,203.710399
-5234.0,1000,207.670162
-4662.0,1000,211.700716
-5586.0,1000,215.041868
-4112.0,1000,219.070864
-4530.0,1000,222.80985
-6235.0,1000,226.833238
-7632.0,1000,230.91268
-5300.0,1000,234.464469
-6642.0,1000,238.020797
-4244.0,1000,241.604748
-4849.0,1000,245.216042
-4937.0,1000,248.759195
-5212.0,1000,252.175541
-5036.0,1000,256.100253
-5641.0,1000,259.837753
-4453.0,1000,263.537509
-4706.0,1000,267.200225
-3606.0,1000,271.297717
-3210.0,1000,275.454078
-2484.0,1000,279.783273
-2154.0,1000,284.137556
-2264.0,1000,288.288256
-2451.0,1000,292.680201
-3991.0,1000,296.371835
-2605.0,1000,299.98011
-3694.0,1000,303.837295
-7049.0,1000,308.059418
-9326.0,1000,312.258075
-5740.0,1000,316.400944
-5949.0,1000,320.582099
-5388.0,1000,324.610262
-5850.0,1000,328.357689
-6400.0,1000,332.217484
-7368.0,1000,336.264441
-5872.0,1000,339.766057
-4343.0,1000,343.339714
-2671.0,1000,346.936048
-5630.0,1000,350.829394
-4123.0,1000,354.797804
-3309.0,1000,358.818937
-3947.0,1000,362.863786
-3177.0,1000,367.073195
-2572.0,1000,371.332651
-2825.0,1000,375.409732
-2286.0,1000,378.983455
-2220.0,1000,382.923547
-2143.0,1000,386.625164
-2044.0,1000,390.528965
-2088.0,1000,394.607846
-2066.0,1000,398.53055
-6367.0,1000,402.294852
-5388.0,1000,406.060975
-2671.0,1000,409.871229
-2099.0,1000,413.781728
-2209.0,1000,417.561736
-2143.0,1000,420.891741
-2286.0,1000,424.530721
-2726.0,1000,428.162767
-6103.0,1000,431.930356
-4552.0,1000,435.733353
-2374.0,1000,439.470731
-2253.0,1000,443.307104
-2704.0,1000,447.130239
-2594.0,1000,450.876944
-2143.0,1000,454.633858
-2341.0,1000,458.260666
-1670.0,1000,461.616673
-2363.0,1000,465.29296
-2099.0,1000,469.010119
-2077.0,1000,472.793197
-1934.0,1000,476.515818
-1395.0,1000,480.213555
-1989.0,1000,483.979852
-2209.0,1000,487.699119
-1131.0,1000,491.424114
-1967.0,1000,495.129979
-1164.0,1000,498.324853
-1175.0,1000,502.017725
-1406.0,1000,505.660541
-3122.0,1000,509.595358
-1670.0,1000,513.513092
-999.0,1000,517.228166
-2242.0,1000,520.99778
-1692.0,1000,524.966176
-1824.0,1000,528.896126
-1714.0,1000,533.080773
-2968.0,1000,537.005518
-1527.0,1000,540.549174
-1384.0,1000,544.253125
-1626.0,1000,548.169941
-1340.0,1000,552.165637
-1010.0,1000,556.221462
-1252.0,1000,560.23217
-1065.0,1000,564.201613
-823.0,1000,568.20679
-922.0,1000,572.336307
-2099.0,1000,576.167515
-2770.0,1000,580.096817
-1395.0,1000,583.431026
-746.0,1000,587.044153
-1274.0,1000,590.86736
-1868.0,1000,594.696938
-1164.0,1000,598.673389
-757.0,1000,602.38329
-746.0,1000,606.063678
-1406.0,1000,609.722833
-1472.0,1000,613.360282
-834.0,1000,616.91106
-1626.0,1000,620.175686
-1054.0,1000,623.842967
-1186.0,1000,627.365633
-977.0,1000,631.102717
-977.0,1000,634.890019
-801.0,1000,638.678067
-1241.0,1000,642.476182
-1373.0,1000,646.225863
-284.0,1000,650.026731
-339.0,1000,653.822156
-922.0,1000,657.421981
-889.0,1000,660.662862
-1076.0,1000,664.332625
-1307.0,1000,667.996764
-713.0,1000,671.805009
-911.0,1000,675.45723
-1175.0,1000,678.974542
-207.0,1000,682.816302
-207.0,1000,686.794687
-1934.0,1000,690.841293
-812.0,1000,694.920784
-603.0,1000,698.851553
-3672.0,1000,702.176485
-757.0,1000,705.924536
-1461.0,1000,709.924918
-1626.0,1000,713.801697
-911.0,1000,717.472575
-823.0,1000,721.245435
-713.0,1000,725.037241
-856.0,1000,728.780972
-570.0,1000,732.877388
-1241.0,1000,736.599441
-1373.0,1000,739.862285
-955.0,1000,743.58444
-1615.0,1000,747.237219
-581.0,1000,751.068192
-2638.0,1000,755.21569
-2726.0,1000,759.245876
-3705.0,1000,763.221831
-2121.0,1000,767.063476
-2550.0,1000,771.02182
-3034.0,1000,774.759715
-2902.0,1000,778.463609
-2242.0,1000,781.787384
-2330.0,1000,785.376614
-1164.0,1000,788.899093
-1857.0,1000,792.575128
-1604.0,1000,796.481755
-1186.0,1000,800.335592
-1736.0,1000,804.140919
-1131.0,1000,808.000909
-1307.0,1000,811.815377
-548.0,1000,815.595786
-1142.0,1000,819.233596
-570.0,1000,822.550435
-1692.0,1000,826.211228
-1879.0,1000,829.991222
-3947.0,1000,833.809232
-2264.0,1000,837.467542
-944.0,1000,841.083628
-2176.0,1000,844.762792
-1043.0,1000,848.37035
-2077.0,1000,852.093878
-1164.0,1000,855.782449
-537.0,1000,858.946158
-955.0,1000,862.580815
-328.0,1000,866.486276
-812.0,1000,870.560694
-592.0,1000,874.636746
-2308.0,1000,878.403071
-834.0,1000,882.190148
-1307.0,1000,885.972899
-658.0,1000,889.9369
-1978.0,1000,893.748419
-1087.0,1000,897.575192
-1065.0,1000,901.059741
-1098.0,1000,905.000341
-768.0,1000,908.986359
-746.0,1000,912.810124
-1527.0,1000,916.660223
-526.0,1000,920.373533
-53.0,1000,924.21341
-570.0,1000,928.109679
-108.0,1000,931.891025
-603.0,1000,935.51612
-1769.0,1000,939.228694
-1197.0,1000,942.691134
-1010.0,1000,946.478866
-1043.0,1000,950.376709
-559.0,1000,954.308199
-1439.0,1000,958.300389
-1527.0,1000,962.256081
-240.0,1000,966.478589
-614.0,1000,970.601665
-372.0,1000,974.595778
-185.0,1000,978.627069
-603.0,1000,982.068155
-383.0,1000,986.047272
-383.0,1000,989.959096
-559.0,1000,993.908521
-658.0,1000,997.72951
-416.0,1000,1001.544232
-75.0,1000,1005.295838
-306.0,1000,1009.023696
-229.0,1000,1012.803829
-350.0,1000,1016.437174
-658.0,1000,1020.496762
-42.0,1000,1024.006118
-427.0,1000,1027.701583
-1758.0,1000,1031.296561
-2000.0,1000,1035.262021
-3881.0,1000,1039.338921
-8072.0,1000,1042.948363
-5542.0,1000,1046.423661
-4354.0,1000,1050.430207
-5751.0,1000,1054.439061
-4299.0,1000,1058.543361
-1769.0,1000,1062.654958
-1461.0,1000,1066.138015
-933.0,1000,1069.828923
-933.0,1000,1073.604765
-163.0,1000,1077.605119
-1714.0,1000,1081.294387
-1120.0,1000,1084.987814
-801.0,1000,1089.076058
-647.0,1000,1092.921485
-944.0,1000,1096.945072
-3023.0,1000,1101.025708
-1934.0,1000,1104.460666
-526.0,1000,1108.165962
211.0,1000,1111.966479
-515.0,1000,1115.988385
-1241.0,1000,1119.995294
-889.0,1000,1123.836093
-295.0,1000,1127.483007
-449.0,1000,1131.375163
-108.0,1000,1135.247094
-108.0,1000,1139.134452
24.0,1000,1142.98391
-416.0,1000,1146.436789
-625.0,1000,1150.529789
