#{"t_start": 1763869474.2640932, "env_id": "None"}
r,l,t
-59926.0,1000,6.376298
-61125.0,1000,14.496282
-60949.0,1000,22.241583
-60432.0,1000,29.88438
-61785.0,1000,37.549766
-60971.0,1000,45.441101
-60971.0,1000,53.225159
-59882.0,1000,61.098527
-64392.0,1000,68.990727
-59772.0,1000,76.922848
-58001.0,1000,85.067052
-60432.0,1000,92.877982
-61180.0,1000,100.768724
-63655.0,1000,108.74492
-58738.0,1000,116.668273
-60179.0,1000,124.573284
-63765.0,1000,132.668184
-58496.0,1000,140.806528
-59827.0,1000,148.911492
-58925.0,1000,157.018443
-59266.0,1000,165.279343
-64183.0,1000,173.335594
-60289.0,1000,181.701307
-62401.0,1000,189.914323
-57242.0,1000,198.056478
-61873.0,1000,206.081955
-61257.0,1000,214.244911
-60553.0,1000,222.331132
-58870.0,1000,230.49259
-61444.0,1000,238.500631
-54602.0,1000,246.439728
-61422.0,1000,254.387241
-58958.0,1000,262.350131
-60883.0,1000,270.346793
-62533.0,1000,278.215688
-58969.0,1000,286.244617
-57154.0,1000,294.124237
-58199.0,1000,301.974763
-59112.0,1000,309.854922
-61125.0,1000,317.654088
-57440.0,1000,325.492617
-59915.0,1000,333.263986
-59519.0,1000,337.84917
-59574.0,1000,345.706134
-60091.0,1000,353.371928
-61125.0,1000,361.061191
-60663.0,1000,368.806458
-60388.0,1000,376.637944
-61730.0,1000,384.390609
-63369.0,1000,392.351044
-58056.0,1000,400.314415
-61873.0,1000,408.377737
-57572.0,1000,416.386695
-58111.0,1000,424.579802
-58012.0,1000,432.700081
-57539.0,1000,441.057877
-62170.0,1000,449.147175
-57242.0,1000,457.109025
-60289.0,1000,465.159008
-58056.0,1000,473.18966
-57858.0,1000,481.104113
-58716.0,1000,488.917428
-62522.0,1000,496.759372
-58782.0,1000,504.500388
-58925.0,1000,512.326735
-61675.0,1000,520.150307
-59321.0,1000,527.893413
-60982.0,1000,535.721512
-62302.0,1000,543.427121
-61818.0,1000,551.264248
-61521.0,1000,559.223986
-61378.0,1000,567.2607
-58067.0,1000,575.102343
-60575.0,1000,582.945184
-61323.0,1000,590.901771
-55394.0,1000,599.048445
-62214.0,1000,607.083766
-58155.0,1000,615.094707
-59409.0,1000,623.18775
-61862.0,1000,631.150553
-55097.0,1000,638.981865
-62016.0,1000,646.913948
-56967.0,1000,654.844383
-60201.0,1000,662.418884
-58980.0,1000,670.019062
-59343.0,1000,674.439203
-60872.0,1000,682.400054
-62137.0,1000,689.792506
-59497.0,1000,697.264046
-59376.0,1000,704.901674
-58903.0,1000,712.556965
-58694.0,1000,720.253909
-59926.0,1000,727.905771
-59332.0,1000,735.667298
-54052.0,1000,743.511536
-62885.0,1000,751.184045
-59464.0,1000,758.858003
-62720.0,1000,766.77406
-60509.0,1000,774.734874
-61103.0,1000,782.704243
-61895.0,1000,790.45581
-57704.0,1000,798.346134
-56769.0,1000,806.076024
-60839.0,1000,813.810712
-62335.0,1000,821.463741
-59827.0,1000,829.324061
-61125.0,1000,837.008271
-56725.0,1000,844.676334
-60355.0,1000,852.132747
-58496.0,1000,859.830657
-62027.0,1000,867.457427
-62533.0,1000,875.114191
-58254.0,1000,882.749693
-63028.0,1000,890.424486
-56120.0,1000,898.0805
-60003.0,1000,905.677953
-60025.0,1000,913.346583
-59838.0,1000,920.973835
