#{"t_start": 1762500264.8771453, "env_id": "None"}
r,l,t
-64051.0,1000,3.535183
-59464.0,1000,7.35614
-58595.0,1000,11.403291
-58859.0,1000,15.68577
-62115.0,1000,19.940698
-58947.0,1000,24.061648
-60839.0,1000,28.280632
-63787.0,1000,32.348528
-56395.0,1000,36.373979
-59904.0,1000,40.317417
-57044.0,1000,43.734647
-59640.0,1000,47.425303
-58012.0,1000,50.993908
-57440.0,1000,54.673628
-54261.0,1000,58.369177
-57231.0,1000,62.311304
-58430.0,1000,66.483804
-56153.0,1000,70.683931
-53271.0,1000,74.763299
-53755.0,1000,78.600238
-54140.0,1000,82.477144
-52292.0,1000,86.086325
-55075.0,1000,89.847331
-52523.0,1000,93.469672
-51269.0,1000,97.289502
-51698.0,1000,101.360516
-48244.0,1000,105.570817
-49487.0,1000,109.622028
-46924.0,1000,113.562274
-48112.0,1000,117.563345
-40203.0,1000,121.416395
-42667.0,1000,124.661756
-39895.0,1000,128.457424
-34846.0,1000,132.111453
-29654.0,1000,136.240178
-17433.0,1000,140.231263
-9458.0,1000,144.069636
-4519.0,1000,148.040089
-3408.0,1000,151.742068
-3727.0,1000,155.41126
-3441.0,1000,159.288193
-3408.0,1000,163.017245
-3298.0,1000,166.225172
-2506.0,1000,169.760595
-2869.0,1000,173.770647
-3056.0,1000,177.573125
-2605.0,1000,181.587163
-2506.0,1000,185.452365
-2979.0,1000,189.381744
-2891.0,1000,193.052748
-3353.0,1000,196.798888
-4222.0,1000,200.490233
-3694.0,1000,204.020728
-3045.0,1000,207.343535
-2781.0,1000,210.993947
-4783.0,1000,215.009091
-3837.0,1000,219.107899
-3408.0,1000,223.110661
-2957.0,1000,227.06932
-5003.0,1000,230.703803
-4288.0,1000,234.587552
-4200.0,1000,238.625139
-3331.0,1000,242.353724
-3430.0,1000,245.698608
-3243.0,1000,249.435723
-3727.0,1000,253.291739
-3859.0,1000,256.951205
-4915.0,1000,260.560814
-4387.0,1000,264.144856
-3573.0,1000,267.780631
-2737.0,1000,271.271918
-2264.0,1000,275.106404
-2660.0,1000,279.023784
-2418.0,1000,282.513453
-2495.0,1000,285.847768
