#{"t_start": 1762225579.6144266, "env_id": "None"}
r,l,t
-10.31,421,0.0376
-23.3,1000,0.120376
-15.83,713,0.180191
-4.63,273,0.203571
-18.75,705,0.262625
-2.81,191,0.277702
-22.0,1000,0.359987
-9.05,455,0.396859
-10.05,395,0.515371
-9.44,444,0.810573
-4.03,213,0.943653
-3.66,246,1.088316
-2.55,165,1.191891
-11.31,641,1.584898
-11.43,453,1.889381
-10.48,528,2.237942
-3.74,194,2.368913
-16.09,899,2.960591
-4.7,250,3.12758
-11.28,508,3.466133
-13.81,831,4.013018
-9.71,421,4.295061
-10.8,540,4.65123
-11.88,488,4.974065
-2.22,142,5.059469
-8.71,401,5.332319
-12.91,681,5.790659
-2.64,164,5.89976
-4.32,272,6.080692
-6.98,338,6.302477
-0.17,67,6.345986
-3.26,206,6.480884
-2.17,127,6.565146
-23.9,1000,7.254293
-4.96,196,7.396569
-3.34,214,7.538256
-6.2,300,7.758902
-6.28,388,8.036829
-8.26,386,8.288045
-13.61,631,8.765568
-11.93,603,9.21028
-4.49,199,9.358932
-4.7,230,9.513538
-1.64,124,9.597494
-20.02,802,10.15094
-8.13,363,10.3951
-23.4,1000,11.085691
-1.13,83,11.152326
-12.48,528,11.516226
-10.5,530,11.884669
-9.07,517,12.248363
-5.88,288,12.437741
-3.0,180,12.585695
-12.6,620,13.067026
-8.13,323,13.318775
-25.4,1000,14.061093
-7.93,343,14.334046
-1.48,128,14.445077
-11.36,456,14.81447
-2.17,127,14.928965
-5.17,247,15.136553
-16.97,587,15.552897
-17.66,786,16.166343
-5.06,266,16.347975
-3.88,188,16.472155
-11.02,522,16.835648
-18.41,771,17.382546
-2.08,108,17.457991
-0.78,78,17.509279
-22.37,887,18.165398
-10.2,440,18.477681
-7.34,374,18.741191
-2.47,157,18.848356
-1.49,79,18.907562
-26.2,1000,19.642495
-24.03,953,20.354377
-9.76,436,20.667627
-17.82,702,21.186287
-16.85,615,21.641775
-4.83,193,21.772496
-8.11,361,22.042376
-2.72,172,22.18923
-18.13,763,22.836028
-23.98,838,23.583498
-12.07,497,24.00399
-2.74,114,24.099133
-6.68,308,24.351765
-10.68,448,24.70593
-4.43,213,24.873419
-2.79,129,24.975627
-27.6,1000,25.747371
-14.77,587,26.192881
-11.67,417,26.498483
-4.85,215,26.660162
-15.53,563,27.075058
-5.81,231,27.235284
-30.8,1000,27.989801
-21.86,806,28.563262
-13.99,549,28.977156
-35.9,1000,29.731486
-16.04,504,30.082709
-1.79,109,30.161821
-9.7,330,30.403545
-3.33,163,30.536098
-15.24,544,30.949439
-6.76,256,31.131399
-31.7,1000,31.847271
-13.28,368,32.120418
-4.16,176,32.245232
-31.4,1000,32.993235
-12.35,465,33.314806
-6.9,250,33.494132
-1.94,94,33.562199
-15.89,539,33.944516
-33.5,1000,34.680646
-19.69,659,35.193657
-15.26,526,35.592746
-9.01,331,35.849535
-5.38,218,36.01815
-24.89,839,36.620773
-7.3,270,36.821859
-4.47,177,36.964352
-26.34,834,37.585429
-30.46,886,38.260694
-6.33,203,38.418491
-32.3,1000,39.155992
-17.73,583,39.589869
-2.17,107,39.666847
-14.13,463,40.003716
-5.77,207,40.163758
-3.46,126,40.267046
-13.12,392,40.575448
-5.44,184,40.72589
-35.6,1000,41.496779
-8.08,268,41.705948
-8.41,271,41.905387
-23.31,681,42.425896
-0.21,51,42.468691
-26.67,817,43.097797
-15.15,445,43.428042
-35.2,1000,44.156572
-24.42,742,44.754386
-32.85,975,45.526898
-20.98,638,46.031353
-6.19,229,46.214492
-5.0,180,46.358219
-3.47,137,46.475537
-20.09,619,46.979567
-35.0,1000,47.736419
-0.56,56,47.776232
-34.5,1000,48.55677
-35.5,1000,49.380813
-0.07,37,49.40826
-10.82,342,49.664411
-34.5,1000,50.404504
-18.52,572,50.807578
-15.16,476,51.272939
-34.5,1000,52.032842
0.34,26,52.051332
-10.83,333,52.296172
-9.62,302,52.518096
-8.06,266,52.71203
-33.9,1000,53.456198
-35.4,1000,54.208609
-23.06,706,54.74696
-36.1,1000,55.477038
-30.34,914,56.172457
0.24,36,56.198796
-23.26,726,56.738672
-19.15,585,57.168795
-3.27,137,57.271912
-35.9,1000,58.019853
-3.69,139,58.120711
-24.48,728,58.662955
-15.64,464,59.010796
-5.8,220,59.172879
-10.3,350,59.462559
-34.35,985,60.440581
-10.49,359,60.822796
-4.95,165,60.993195
-5.72,212,61.207129
-10.57,327,61.471649
-3.87,137,61.577321
-6.81,251,61.772679
-7.07,257,61.974892
-7.65,255,62.169642
-12.19,369,62.446726
-2.55,105,62.526613
-10.56,336,62.773608
-2.88,108,62.852646
-6.55,205,63.026083
-4.91,161,63.16103
-33.5,1000,63.903131
-2.25,95,63.978066
-10.69,339,64.253209
-6.28,208,64.404089
-11.83,373,64.687091
-6.96,236,64.866802
-16.42,502,65.251023
-36.2,1000,66.017205
-17.81,551,66.425176
-0.19,49,66.466201
-14.95,485,66.840889
-18.93,563,67.260256
-8.7,290,67.479069
-2.59,109,67.561572
-6.34,214,67.725297
-0.96,76,67.781611
-11.16,376,68.059705
-0.05,35,68.08807
-11.98,378,68.363202
-3.91,141,68.457843
-1.77,87,68.522536
-4.68,168,68.658314
-22.69,699,69.191186
-34.7,1000,69.982008
-15.86,486,70.359293
-4.5,170,70.501239
-22.26,646,70.99252
-9.62,302,71.21153
-21.74,634,71.695514
-18.07,557,72.108176
-8.84,284,72.321615
-34.2,1000,73.085214
-11.05,335,73.327547
-18.92,612,73.811794
-1.36,76,73.871056
-3.03,133,73.970134
-32.15,945,74.703842
-25.25,735,75.221675
-6.28,208,75.372264
-3.78,138,75.471935
-2.85,115,75.562155
-35.3,1000,76.313088
-2.92,112,76.402016
-5.79,209,76.557151
-7.05,215,76.716456
-23.98,698,77.222808
-0.45,55,77.261998
-2.45,115,77.355273
-10.74,314,77.595032
-9.9,310,77.823107
-2.17,107,77.915685
-2.92,112,78.012989
-14.08,428,78.322485
-18.02,542,78.708246
-2.39,109,78.787414
-19.26,586,79.199885
-5.53,183,79.336325
-1.81,91,79.401944
-3.41,131,79.504734
-3.3,130,79.607385
-3.28,108,79.697645
-2.81,111,79.781512
-11.79,369,80.052757
-9.09,279,80.261992
-14.23,433,80.582755
-36.5,1000,81.32707
-21.38,618,81.777237
-4.87,157,81.893773
-11.41,371,82.208248
-3.09,119,82.303792
-2.88,128,82.398788
-14.5,450,82.724842
-11.49,379,83.01825
-5.07,177,83.143872
-6.15,225,83.305241
-4.57,147,83.422529
-6.15,205,83.587853
-4.0,160,83.715386
-0.73,63,83.765676
-9.14,294,83.996949
-20.09,579,84.415401
-6.31,221,84.584144
-10.05,315,84.828939
-8.69,259,85.030172
-4.12,152,85.135682
-4.83,173,85.269509
-3.75,145,85.391034
-0.77,67,85.443975
-7.49,239,85.632639
-4.33,163,85.750137
-1.37,67,85.796563
-8.45,275,85.998802
-2.95,105,86.087671
-12.11,361,86.359361
-12.8,380,86.63243
-1.74,94,86.698394
-17.14,514,87.084559
-6.25,215,87.260902
-2.05,95,87.336001
-14.71,421,87.655639
-2.44,104,87.73715
-2.22,102,87.815442
-7.6,240,87.995761
-3.43,133,88.103878
-3.83,133,88.209726
-0.61,51,88.247103
-8.55,265,88.431587
-10.12,312,88.648574
-7.46,246,88.821879
-4.97,167,88.940297
-2.82,122,89.044022
-4.65,155,89.175256
-2.05,95,89.256801
-8.77,267,89.456833
-12.33,363,89.720304
-1.17,67,89.768512
-10.54,354,90.028305
-4.96,176,90.160342
-11.28,328,90.402482
-2.55,105,90.490733
-9.4,320,90.735764
-11.35,365,91.036651
-19.61,571,91.472407
-4.13,143,91.577195
-2.22,102,91.655236
-10.73,323,91.901439
-3.74,134,91.999429
-3.62,142,92.10904
-3.64,124,92.202297
-11.36,336,92.443521
-6.26,166,92.565092
-11.61,391,92.854552
-19.01,551,93.270698
-6.0,200,93.419945
-3.14,134,93.51482
-2.44,104,93.590597
-3.16,136,93.689418
-2.6,120,93.77638
-10.58,338,94.004065
-24.23,693,94.532919
-4.63,153,94.641341
-4.64,164,94.766129
-3.8,140,94.873617
