#{"t_start": 1762153821.5105128, "env_id": "None"}
r,l,t
-22.22,912,0.055172
-17.63,843,0.104078
-49.4,1000,0.162666
-40.8,1000,0.220889
-40.5,1000,0.279038
-19.01,381,0.392231
-32.7,1000,1.120652
-32.8,1000,1.8494
-37.9,1000,2.585448
-27.0,1000,3.329348
-7.36,606,3.786772
-33.6,1000,4.538029
-28.4,1000,5.296273
-30.6,1000,6.056703
-28.7,1000,6.82599
-26.2,1000,7.588304
-27.5,1000,8.373924
-40.0,990,9.152793
-25.3,1000,9.95714
-24.6,1000,10.744287
-24.3,1000,11.540265
-25.3,1000,12.354542
-21.7,1000,13.167372
-23.6,1000,13.978539
-24.2,1000,14.794453
-12.23,743,15.404922
-23.0,1000,16.226393
-22.1,1000,17.055732
-23.8,1000,17.888063
-21.4,1000,18.73721
-24.8,1000,19.577196
-18.1,1000,20.436721
-24.0,1000,21.285648
-20.31,711,21.899701
-21.9,820,22.612273
-24.1,1000,23.476361
-24.8,1000,24.344977
-18.5,1000,25.223181
-19.7,1000,26.092239
-19.0,1000,26.975583
-14.5,1000,27.877555
-14.4,1000,28.769564
-16.2,1000,29.664337
-15.8,1000,30.567819
-13.3,1000,31.481153
-14.6,1000,32.395026
-14.2,1000,33.309733
-15.5,1000,34.218095
-15.3,1000,35.139288
-15.2,1000,36.063203
-13.3,1000,36.994043
-15.1,1000,37.921153
-14.5,1000,38.858759
-14.1,1000,39.800766
-12.8,1000,40.751748
-13.3,1000,41.697352
-12.2,1000,42.654728
-11.6,1000,43.615412
-16.4,1000,44.57613
-12.6,1000,45.542578
-11.0,1000,46.518825
-10.9,1000,47.491657
-10.7,1000,48.474033
-11.0,1000,49.447803
-10.4,1000,50.427791
-11.0,1000,51.402002
-10.3,1000,52.37856
-10.7,1000,53.357695
-10.2,1000,54.335007
-10.2,1000,55.326402
-10.6,1000,56.309143
-10.8,1000,57.290659
-10.1,1000,58.2765
-11.2,1000,59.258953
-10.8,1000,60.246243
-10.8,1000,61.222745
-10.6,1000,62.201004
-11.4,1000,63.185745
-10.8,1000,64.16311
-10.7,1000,65.140365
-11.0,1000,66.119479
-11.5,1000,67.095664
-12.3,1000,68.066176
-10.6,1000,69.049181
-11.2,1000,70.04093
-10.8,1000,71.041598
-11.1,1000,72.038311
-10.4,1000,73.035941
-11.0,1000,74.032302
-11.1,1000,75.030682
-11.4,1000,76.033833
-10.9,1000,77.018138
-11.2,1000,78.002325
-12.3,1000,78.988865
-10.9,1000,79.965461
-11.3,1000,80.946306
-10.5,1000,81.922659
-10.8,1000,82.90097
-11.3,1000,83.878647
-11.2,1000,84.859502
-11.4,1000,85.837033
-11.1,1000,86.817027
-10.7,1000,87.791142
-10.4,1000,88.813326
-11.2,1000,89.840249
-11.1,1000,90.820246
-11.5,1000,91.796284
-11.1,1000,92.774309
-10.6,1000,93.752578
-11.7,1000,94.73386
-11.4,1000,95.71802
-11.6,1000,96.700389
-12.0,1000,97.695088
-11.9,1000,98.674186
-11.1,1000,99.65378
-11.5,1000,100.63011
-11.2,1000,101.609342
-11.7,1000,102.590269
-11.9,1000,103.565269
-11.5,1000,104.505842
-11.3,1000,105.489032
-11.3,1000,106.465492
-11.9,1000,107.436252
-11.2,1000,108.364717
-10.9,1000,109.315096
-11.0,1000,110.29229
-11.8,1000,111.265958
-11.0,1000,112.236597
-10.6,1000,113.214848
-11.9,1000,114.195272
-10.6,1000,115.17584
-11.6,1000,116.158705
-10.6,1000,117.136799
-10.6,1000,118.084564
-10.6,1000,119.02177
-10.5,1000,119.957537
-10.5,1000,120.887931
-10.6,1000,121.853097
-10.7,1000,122.825195
-10.6,1000,123.820406
-10.9,1000,124.81541
-11.9,1000,125.792281
-11.2,1000,126.77004
-11.0,1000,127.753236
-10.7,1000,128.732089
-10.6,1000,129.711975
-10.8,1000,130.689293
-10.9,1000,131.667899
-11.2,1000,132.641205
-10.7,1000,133.625014
-11.2,1000,134.601483
-10.9,1000,135.578102
-10.6,1000,136.570373
-10.4,1000,137.55454
-10.8,1000,138.532983
-10.7,1000,139.529354
-10.5,1000,140.511596
-10.6,1000,141.486064
-10.7,1000,142.463809
-11.0,1000,143.438908
-11.1,1000,144.424196
-10.9,1000,145.405464
-10.5,1000,146.38089
-10.8,1000,147.351916
-10.7,1000,148.323755
-11.1,1000,149.309112
-10.9,1000,150.29471
-10.8,1000,151.280539
-10.5,1000,152.258316
-11.0,1000,153.238294
-10.8,1000,154.226016
-10.8,1000,155.209375
-11.0,1000,156.189176
-10.8,1000,157.170342
-11.0,1000,158.150298
-11.0,1000,159.13498
-10.9,1000,160.11715
-11.2,1000,161.09446
-10.5,1000,162.066385
-10.6,1000,163.042249
-10.5,1000,164.023927
-11.3,1000,165.0047
-10.8,1000,165.984645
-10.7,1000,166.970585
-10.6,1000,167.953098
-10.6,1000,168.942059
-11.5,1000,169.920332
-11.2,1000,170.905698
-10.7,1000,171.882836
-10.5,1000,172.86101
-10.9,1000,173.840087
-10.9,1000,174.819822
-10.4,1000,175.815824
-10.5,1000,176.797365
-10.7,1000,177.775037
-11.3,1000,178.752991
-10.4,1000,179.72972
-10.9,1000,180.700278
-11.2,1000,181.671191
-11.0,1000,182.651656
-10.8,1000,183.631161
-11.1,1000,184.608569
-10.7,1000,185.5783
-11.2,1000,186.548798
-10.8,1000,187.521947
-11.7,1000,188.499928
-10.8,1000,189.476689
-10.4,1000,190.462195
-10.4,1000,191.448038
-10.6,1000,192.42806
-11.3,1000,193.407241
-10.3,1000,194.389386
-11.1,1000,195.379448
-11.1,1000,196.36667
-11.1,1000,197.349688
