#{"t_start": 1762143854.0534308, "env_id": "None"}
r,l,t
-15.43,633,0.042287
-23.4,1000,0.104647
-18.1,830,0.156548
-7.35,425,0.183709
-1.62,142,0.192806
-23.2,1000,0.255258
-7.39,329,0.27576
-9.21,471,0.305171
-5.33,323,0.433628
-2.82,142,0.537956
-23.5,1000,1.262325
-17.23,673,1.754018
-19.85,955,2.455903
-2.26,166,2.581468
-11.95,525,2.969688
-22.4,1000,3.713303
-21.88,988,4.457366
-2.56,196,4.604609
-6.54,334,4.856123
-6.15,365,5.127788
-8.95,445,5.460927
-8.63,453,5.802903
-4.27,217,5.971086
-18.73,883,6.647766
-9.5,550,7.060796
-9.17,387,7.355459
-9.11,421,7.684356
-3.91,221,7.8587
-5.52,252,8.055496
-4.38,218,8.225669
-2.79,209,8.386805
-12.16,476,8.753594
-3.74,134,8.861266
-9.5,350,9.135515
-2.65,155,9.253424
-3.36,196,9.40583
-23.2,1000,10.186522
-3.61,211,10.355998
-10.43,453,10.71902
-12.3,610,11.205742
-2.71,121,11.302361
-1.51,101,11.380624
-3.16,176,11.521916
-1.58,98,11.602742
-3.94,214,11.781253
-0.63,73,11.841293
-6.01,271,12.056094
-4.53,223,12.235852
-1.89,139,12.349897
-3.07,157,12.474989
-1.69,119,12.571422
-9.06,406,12.89752
-0.74,74,12.96067
-3.68,208,13.128255
-0.77,107,13.213768
-1.67,137,13.324177
-2.09,119,13.420442
-2.03,133,13.52878
-2.84,124,13.627182
-4.26,186,13.780199
-7.02,382,14.096517
-0.84,84,14.164975
-0.63,73,14.225114
-1.32,112,14.316485
-0.47,77,14.378917
-4.03,173,14.523843
-2.77,107,14.611081
-5.02,202,14.775871
-2.74,174,14.917084
-0.24,64,14.971173
-0.94,114,15.065784
-2.49,139,15.183684
-0.19,49,15.224432
-6.5,270,15.450511
-1.51,101,15.538998
-2.42,182,15.686195
-4.98,198,15.855983
-1.78,98,15.938949
-6.83,233,16.136666
-0.75,105,16.227389
-4.6,220,16.414404
-0.94,74,16.47667
-0.86,106,16.569876
-4.0,160,16.705706
-0.44,84,16.779524
-6.87,257,16.999643
-5.47,157,17.14048
-3.19,109,17.232496
-2.74,154,17.362306
-0.86,86,17.437723
-1.15,105,17.527001
-6.78,318,17.784956
-2.58,98,17.868465
-0.33,63,17.918515
-1.69,99,18.001544
-12.92,312,18.261244
-1.69,139,18.380794
-10.32,292,18.621473
-2.2,80,18.690296
-2.57,187,18.850414
-8.29,239,19.053077
-10.6,320,19.326295
-1.8,120,19.430746
-30.06,686,20.024718
-0.83,73,20.087123
-3.17,167,20.23689
-2.08,168,20.382184
-0.92,92,20.464858
-2.29,119,20.570482
-0.7,50,20.612663
-2.41,171,20.763943
-2.09,179,20.920907
0.12,68,20.978185
-2.88,188,21.143949
-5.35,285,21.39186
-2.9,190,21.558127
-3.65,195,21.722571
-1.99,169,21.866454
-3.81,231,22.066477
-2.65,155,22.197061
-1.28,108,22.291097
-8.82,342,22.584226
-1.6,100,22.669023
-0.46,86,22.743123
-6.96,256,22.973685
-6.34,214,23.154376
-10.07,317,23.435173
-0.09,79,23.502715
-4.02,182,23.661014
-14.39,589,24.17432
-1.73,83,24.24798
-1.54,94,24.327513
-11.37,427,24.699215
-3.35,205,24.877947
-10.98,378,25.212176
-8.16,476,25.63547
-3.05,135,25.753519
-1.63,133,25.869129
-3.54,214,26.05611
-3.38,218,26.250249
-3.6,260,26.488067
-4.23,273,26.72791
-0.48,88,26.80631
-9.64,564,27.304765
-3.08,188,27.475291
-6.33,283,27.728738
-6.98,458,28.139247
-5.76,396,28.492341
-6.13,383,28.836338
-10.2,540,29.325975
-12.28,668,29.928041
-2.33,163,30.072462
-2.21,191,30.246739
-15.09,859,31.024435
-4.33,263,31.263059
-13.7,610,31.815839
-7.94,534,32.302655
-0.19,89,32.386361
-1.94,174,32.547405
-2.96,256,32.786658
-3.44,284,33.048362
-16.0,1000,33.981704
-2.54,254,34.216409
-19.3,1000,35.147735
-3.96,336,35.46517
-15.6,1000,36.395889
-15.3,1000,37.325678
-3.46,326,37.632714
-9.92,712,38.311115
-14.3,1000,39.245581
-4.43,353,39.576051
-3.35,345,39.901897
-7.47,577,40.449722
-6.62,582,41.001805
-4.22,382,41.377046
-13.0,1000,42.367614
-13.7,1000,43.331282
-6.95,245,43.565977
0.05,85,43.647255
-2.57,167,43.810587
-2.22,242,44.048514
-0.73,143,44.191854
-0.39,109,44.300824
-2.86,306,44.608501
0.04,76,44.684472
-3.14,254,44.929109
-12.3,230,45.155711
-2.43,333,45.490613
-2.08,228,45.718698
-3.89,359,46.071569
-5.22,482,46.546241
-2.94,314,46.855006
-3.71,361,47.206194
-0.27,97,47.300689
-0.71,101,47.403014
-2.22,302,47.698531
-0.48,108,47.803452
-6.74,234,48.036406
-4.94,534,48.556239
-6.99,289,48.839777
-9.78,278,49.113596
-1.91,121,49.230712
-0.41,151,49.37771
-1.36,176,49.548321
-22.19,849,50.376167
-1.33,203,50.575199
0.22,78,50.651313
-6.3,650,51.289683
-1.43,193,51.474255
-1.8,240,51.707184
-1.65,235,51.936881
-2.85,355,52.288313
-8.52,452,52.730272
-10.67,777,53.503704
-19.91,901,54.389332
-11.3,1000,55.369959
-9.57,867,56.219323
-11.2,1000,57.211074
-1.57,247,57.452954
-15.5,1000,58.434261
-12.1,1000,59.413508
-5.66,586,59.982631
-13.6,1000,60.961442
-4.0,460,61.413905
-11.2,1000,62.38939
-11.3,1000,63.363308
-10.9,1000,64.355204
-11.7,1000,65.36501
-4.9,550,65.922176
-6.74,734,66.657929
-2.45,355,67.006598
-5.4,600,67.593353
-0.1,110,67.698032
-3.67,397,68.091421
-11.1,1000,69.070031
-1.14,214,69.277463
-3.06,386,69.656799
-3.48,408,70.058523
-1.57,227,70.2804
-10.63,373,70.64738
-4.61,511,71.146712
-4.11,461,71.606517
-30.45,535,72.130902
-3.39,289,72.420323
-11.08,808,73.218902
-3.29,399,73.608811
-11.99,289,73.892789
-18.64,844,74.722788
-11.0,1000,75.720895
-10.5,1000,76.711054
-6.8,700,77.395977
-11.3,1000,78.377216
-11.0,1000,79.360864
-10.9,1000,80.349801
-5.4,620,80.96324
-8.54,874,81.816447
-3.35,425,82.230916
-0.7,150,82.385177
-6.81,711,83.087819
-1.02,162,83.246196
-1.95,285,83.528358
-9.04,804,84.31545
0.65,45,84.361081
-3.4,320,84.670477
-8.26,826,85.481199
-10.9,1000,86.464008
-11.1,1000,87.475196
-11.2,1000,88.465371
-10.8,1000,89.452713
-11.6,1000,90.441327
-8.17,847,91.285869
-3.74,454,91.728037
-10.8,1000,92.724755
-11.5,1000,93.702748
-6.35,685,94.379272
-6.51,681,95.04976
-5.54,614,95.638817
-11.5,1000,96.581278
-3.55,385,96.943498
-11.4,1000,97.88257
-11.7,1000,98.813556
-1.27,197,99.008017
-11.2,1000,99.99022
-11.2,1000,100.973445
-10.6,1000,101.958912
-5.73,623,102.568323
-11.0,1000,103.561121
-5.28,568,104.121657
-11.8,1000,105.103097
-11.3,1000,106.085048
-4.19,469,106.547209
-10.9,1000,107.518183
-7.4,800,108.288854
-13.9,1000,109.300816
-11.4,1000,110.315108
-11.1,1000,111.330011
-11.4,1000,112.344187
-7.25,755,113.112641
-11.5,1000,114.12512
-12.0,1000,115.126435
-12.6,1000,116.035018
-11.2,1000,116.994126
-3.58,398,117.382296
-11.5,1000,118.360455
-11.2,1000,119.344607
-0.52,152,119.493403
-10.7,1000,120.470887
-7.17,807,121.262903
-3.58,438,121.687571
-75.7,1000,122.623442
-3.67,417,123.016635
-2.55,345,123.33924
-3.71,441,123.756569
-2.58,338,124.091552
-8.16,816,124.893096
-12.12,492,125.374812
-15.6,1000,126.347421
-6.03,613,126.933224
-13.1,1000,127.870591
-10.8,1000,128.8078
-11.1,1000,129.785533
-3.43,373,130.149059
-11.8,1000,131.128099
-6.16,636,131.756599
-1.79,269,132.021549
-1.18,198,132.217062
-8.26,866,133.070582
-2.05,275,133.34048
-11.0,1000,134.316366
-0.06,106,134.422551
-1.69,239,134.654901
-1.81,231,134.878635
0.01,109,134.984426
-8.28,868,135.840888
-11.2,1000,136.824187
-6.11,641,137.454943
-5.38,598,138.041742
-4.0,440,138.470678
-11.7,1000,139.447137
-11.4,1000,140.427241
-11.3,1000,141.429662
-7.09,719,142.157015
-3.83,433,142.593624
-11.2,1000,143.594809
-11.0,1000,144.572328
-4.72,512,145.077406
-8.78,898,145.979455
-9.86,966,146.925395
-2.22,302,147.222847
-3.0,400,147.615935
-11.1,1000,148.603036
-0.17,127,148.726307
-6.13,643,149.369997
-6.73,663,150.030412
-0.34,134,150.163935
-8.21,811,150.970453
-5.94,594,151.576747
-8.39,829,152.411568
-10.9,1000,153.388062
-10.9,1000,154.364905
-12.4,1000,155.350201
-10.9,1000,156.366225
-8.44,844,157.217808
-5.43,553,157.774519
-11.4,1000,158.755295
-11.4,1000,159.729719
-11.0,1000,160.710219
-9.97,967,161.662982
-10.8,1000,162.645059
-0.27,97,162.737234
-4.94,574,163.301632
-11.1,1000,164.282749
-5.13,543,164.809973
-7.86,786,165.579072
-11.0,1000,166.564095
-11.7,1000,167.54143
-10.01,991,168.523506
-15.08,528,169.043682
-0.76,136,169.17872
-3.64,424,169.599604
-3.98,478,170.067019
-11.3,1000,171.053942
-8.94,914,171.953531
-0.09,79,172.029047
-0.36,116,172.140131
-0.06,86,172.225843
-12.28,268,172.489033
-1.27,217,172.700578
-28.13,363,173.058259
-67.16,876,173.919407
-17.7,1000,174.896042
0.05,105,175.000184
-16.7,1000,175.968735
-6.34,654,176.575669
-2.23,333,176.899277
-0.93,183,177.085097
-7.85,795,177.883808
-0.13,123,178.007226
-24.3,1000,178.985855
-43.48,848,179.813431
-3.27,377,180.184426
-0.71,161,180.345727
-5.75,645,180.99923
-0.65,155,181.155842
-6.33,703,181.841932
-10.6,1000,182.84449
-0.23,133,182.978651
-11.0,1000,183.959373
-1.48,228,184.179461
-11.7,1000,185.159622
-0.33,143,185.298744
-10.6,1000,186.29008
-0.27,137,186.428557
-10.7,1000,187.414739
-5.36,596,188.004728
-1.67,257,188.258699
-11.5,1000,189.238782
-11.5,1000,190.229083
-10.5,1000,191.225171
-11.1,1000,192.21234
-5.16,576,192.787312
-11.0,1000,193.767148
-11.4,1000,194.741284
-10.4,1000,195.735842
-12.0,1000,196.713848
-11.0,1000,197.693835
-8.81,871,198.556267
-11.6,1000,199.536543
-11.4,1000,200.528232
-10.8,1000,201.510194
-11.8,1000,202.484114
-11.1,1000,203.483744
-4.74,514,203.987073
-10.8,1000,204.965654
-10.8,1000,205.956263
-11.8,1000,206.939536
-7.4,720,207.65747
-3.54,414,208.062381
-11.3,1000,209.057017
-0.4,140,209.196027
-1.29,199,209.391765
-12.4,1000,210.378877
-11.1,1000,211.366022
-9.14,934,212.279808
-5.98,638,212.905049
-11.8,1000,213.88007
-11.1,1000,214.856206
-11.1,1000,215.845014
-1.7,250,216.094242
-8.16,856,216.935523
-2.11,281,217.212691
-10.9,1000,218.207222
-11.7,1000,219.18407
-11.1,1000,220.164442
-2.92,372,220.531589
-6.95,705,221.223594
-10.8,1000,222.207089
-11.2,1000,223.204433
-11.1,1000,224.189019
-10.8,1000,225.179553
-9.3,930,226.105051
-4.83,493,226.586729
-10.68,368,226.946281
-3.37,407,227.339965
-41.45,615,227.941753
-57.0,1000,228.915492
-3.96,396,229.297627
-31.4,1000,230.28152
-3.91,441,230.71105
-28.0,1000,231.697659
-0.83,173,231.865369
-3.49,439,232.29535
-47.6,1000,233.2697
-11.1,1000,234.260403
-8.54,834,235.087804
-5.5,530,235.602334
-2.92,352,235.943764
-3.18,378,236.310595
-8.33,823,237.129233
-7.21,751,237.869577
-11.8,1000,238.844124
