#{"t_start": 1762178526.1128032, "env_id": "None"}
r,l,t
-60817.0,1000,0.056318
-55933.0,1000,0.109943
-60652.0,1000,0.164376
-60003.0,1000,0.218326
-60135.0,1000,0.272109
-60267.0,1000,1.063565
-58705.0,1000,1.852487
-55702.0,1000,2.652107
-57440.0,1000,3.46117
-56131.0,1000,4.336496
-55933.0,1000,5.15105
-56362.0,1000,5.985861
-54393.0,1000,6.843203
-54558.0,1000,7.708174
-51720.0,1000,8.587497
-53678.0,1000,9.503453
-45703.0,1000,10.373338
-46484.0,1000,11.314279
-47782.0,1000,12.198666
-46957.0,1000,13.098564
-46055.0,1000,13.986964
-42876.0,1000,14.91904
-41138.0,1000,15.821855
-38498.0,1000,16.782744
-40181.0,1000,17.796818
-37398.0,1000,18.829799
-37717.0,1000,19.865047
-37398.0,1000,20.921265
-37046.0,1000,21.970669
-37365.0,1000,23.027184
-35605.0,1000,24.069935
-38190.0,1000,25.172534
-31777.0,1000,26.252091
-32338.0,1000,27.256254
-28125.0,1000,28.277842
-34208.0,1000,29.261101
-30391.0,1000,30.269439
-26959.0,1000,31.281655
-28444.0,1000,32.320629
-30325.0,1000,33.333903
-23769.0,1000,34.365498
-27124.0,1000,35.402752
-24891.0,1000,36.45191
-22460.0,1000,37.552631
-24594.0,1000,38.671736
-23648.0,1000,39.741232
-19413.0,1000,40.808526
-19424.0,1000,41.910238
-19864.0,1000,42.999701
-17950.0,1000,44.071934
-13968.0,1000,45.207762
-14496.0,1000,46.332249
-16212.0,1000,47.461672
-17620.0,1000,48.589951
-15673.0,1000,49.744484
-14540.0,1000,50.882875
-12703.0,1000,52.046953
-11460.0,1000,53.2112
-10129.0,1000,54.388663
-10525.0,1000,55.530882
-10800.0,1000,56.721141
-8754.0,1000,57.882372
-9425.0,1000,59.037052
-10118.0,1000,60.196295
-7797.0,1000,61.300308
-12142.0,1000,62.413292
-10019.0,1000,63.566519
-10085.0,1000,64.704709
-7555.0,1000,65.865811
-8974.0,1000,67.022893
-10338.0,1000,68.205176
-9447.0,1000,69.363763
-10217.0,1000,70.511534
-10063.0,1000,71.659906
-8237.0,1000,72.815181
-10536.0,1000,73.977576
-10877.0,1000,75.140477
-12494.0,1000,76.291574
-8248.0,1000,77.437315
-10998.0,1000,78.584835
-12230.0,1000,79.754515
-8633.0,1000,80.930332
-10195.0,1000,82.107953
-9986.0,1000,83.287605
-9887.0,1000,84.471153
-11515.0,1000,85.632684
-8149.0,1000,86.809958
-10184.0,1000,87.993029
-11812.0,1000,89.164918
-12054.0,1000,90.34172
-9513.0,1000,91.532325
-9480.0,1000,92.696553
-10833.0,1000,93.863536
-9194.0,1000,95.031325
-10283.0,1000,96.21622
-10316.0,1000,97.399347
-9887.0,1000,98.572609
-8996.0,1000,99.736215
-10206.0,1000,100.883918
-9348.0,1000,102.030941
-6906.0,1000,103.191412
-10624.0,1000,104.343225
-11218.0,1000,105.493953
-12824.0,1000,106.640416
-10041.0,1000,107.790252
-11394.0,1000,108.939275
-8556.0,1000,110.107027
-10415.0,1000,111.258808
-8776.0,1000,112.416869
-10635.0,1000,113.56408
-9282.0,1000,114.71736
-8820.0,1000,115.864035
-8842.0,1000,117.009743
-10877.0,1000,118.15624
-10514.0,1000,119.296133
-12087.0,1000,120.463185
-12131.0,1000,121.600996
-8996.0,1000,122.747627
-8754.0,1000,123.895051
-10855.0,1000,125.043394
-9887.0,1000,126.191347
-12032.0,1000,127.337118
-10679.0,1000,128.481987
-8886.0,1000,129.629272
-10316.0,1000,130.776102
-12186.0,1000,131.920129
-9513.0,1000,133.062945
