#{"t_start": 1762333637.9686081, "env_id": "None"}
r,l,t
-96.8,1000,0.322487
-100.3,1000,0.657227
-97.5,1000,0.9926
-100.5,1000,1.464484
-99.4,1000,1.804421
-98.0,1000,2.144593
-97.0,1000,2.485274
-99.3,1000,2.829502
-102.1,1000,3.173882
-101.7,1000,3.519437
-99.7,1000,3.850688
-102.6,1000,4.17705
-98.2,1000,4.502043
-102.3,1000,4.847795
-99.8,1000,5.183204
-100.6,1000,5.508589
-101.4,1000,5.847926
-101.0,1000,6.191196
-99.8,1000,6.534791
-100.6,1000,6.878644
-76.1,1000,17.320912
-11.6,1000,26.725211
-11.6,1000,36.751697
-12.4,1000,46.783279
-13.4,1000,56.811051
-12.3,1000,66.826452
-13.0,1000,76.834497
-12.6,1000,86.848287
-13.0,1000,97.12415
-12.8,1000,107.201271
-1.02,872,116.369257
-11.9,1000,126.419592
-11.2,1000,136.437777
-11.4,1000,146.482449
-11.7,1000,156.545838
-11.3,1000,166.618904
-11.7,1000,176.688289
-12.1,1000,186.770023
-20.5,1000,196.84934
-12.5,1000,206.92194
-11.2,1000,217.005494
-12.7,1000,227.085943
-11.6,1000,237.175782
-11.6,1000,247.288548
-10.8,1000,257.370142
-10.8,1000,267.447406
-12.2,1000,277.499081
-11.9,1000,287.577274
-11.7,1000,297.667293
-11.0,1000,307.762478
-10.2,1000,317.844619
-10.8,1000,327.928947
-11.2,1000,338.024594
-11.9,1000,348.205084
-11.4,1000,358.31848
-10.6,1000,368.405164
-11.5,1000,378.505254
-10.7,1000,388.611825
-11.1,1000,398.709015
-11.3,1000,408.828485
-10.4,1000,418.955531
-11.2,1000,429.089556
-11.5,1000,439.224887
-11.8,1000,449.341434
-10.9,1000,459.502678
-11.8,1000,469.823421
-11.0,1000,479.976378
-10.8,1000,490.088689
-11.3,1000,500.260258
-11.1,1000,510.403558
-11.6,1000,520.553847
-10.5,1000,530.683695
8.67,133,532.046589
-12.9,1000,542.084924
-14.3,1000,552.120448
-13.9,1000,562.186054
-14.6,1000,572.270211
-13.1,1000,582.336536
-13.3,1000,592.400826
-12.7,1000,602.441163
-0.46,796,610.444649
-12.2,1000,620.459627
-12.7,1000,630.480336
6.35,245,632.96804
5.24,406,637.048966
7.06,224,639.288864
-2.84,994,649.12537
5.32,418,653.290734
6.98,292,656.183954
-0.27,867,664.061146
0.04,846,672.024538
-11.2,1000,681.882238
-11.9,1000,691.73092
-12.2,1000,701.694974
5.12,458,706.233219
6.75,285,709.043932
6.09,311,712.100161
-13.8,1000,721.874144
-7.54,224,724.084872
-9.19,399,727.952917
-17.6,1000,737.627552
1.61,619,743.652882
-0.72,962,752.956494
-11.2,1000,762.617751
9.17,83,763.426298
8.16,134,764.723871
9.17,63,765.327863
9.1,80,766.099887
9.27,73,766.793509
9.24,66,767.414465
8.68,102,768.374171
8.7,100,769.307989
9.05,75,770.011843
7.13,247,772.286563
6.25,195,774.069792
-40.2,1000,783.17858
5.01,199,785.01915
7.12,78,785.733243
9.12,58,786.253397
-12.1,1000,795.230736
9.06,64,795.819035
3.67,573,800.913805
-0.23,743,807.501899
-18.1,1000,816.385731
5.43,97,817.272235
8.57,103,818.180146
7.73,67,818.773359
8.62,88,819.507455
8.55,65,820.003421
9.08,62,820.470589
9.09,71,821.001894
9.07,73,821.599401
9.48,62,822.127135
8.87,73,822.742255
7.87,93,823.528014
9.07,53,823.976021
8.83,57,824.444759
8.7,80,825.109605
-0.03,143,826.265841
8.88,62,826.775041
9.09,71,827.356771
9.23,57,827.800907
9.58,52,828.218335
9.22,48,828.598535
8.64,66,829.112733
8.87,53,829.53266
8.0,110,830.376829
9.35,45,830.731688
9.44,46,831.079309
9.02,68,831.606505
8.92,78,832.203605
6.19,101,832.977504
8.46,84,833.621202
8.82,48,833.977511
9.36,54,834.374668
8.2,70,834.899448
9.19,61,835.348976
5.27,93,836.015314
7.32,218,837.598022
8.19,61,838.036135
8.62,68,838.524472
8.35,65,838.986563
7.77,103,839.713669
6.44,106,840.431933
8.47,73,840.941385
5.89,91,841.574471
8.8,70,842.058059
8.64,66,842.49252
9.27,53,842.855227
8.35,65,843.299307
8.85,55,843.662323
8.97,63,844.068406
7.78,72,844.543002
9.1,60,844.936391
8.28,62,845.333707
8.88,62,845.732776
8.75,65,846.137362
9.23,77,846.638059
9.3,60,847.011116
9.01,79,847.495678
9.24,66,847.898926
6.32,118,848.61852
6.6,110,849.290266
7.44,86,849.811937
8.77,63,850.182062
7.99,101,850.784648
8.08,82,851.272282
8.49,91,851.808725
8.01,79,852.274251
5.93,127,853.027971
7.78,112,853.67658
4.88,142,854.501775
6.83,137,855.292551
-77.48,918,860.491107
2.48,202,861.64685
-31.3,1000,867.159833
-21.2,1000,872.743912
-48.4,1000,878.346241
2.82,368,880.453706
-20.1,1000,885.278725
-19.0,1000,890.93476
-14.3,1000,896.620729
-19.6,1000,902.34045
-36.5,1000,908.065348
-41.4,1000,913.833608
-30.2,1000,919.632741
-23.4,1000,925.462535
-35.6,1000,931.29217
-24.0,1000,937.21314
-19.6,1000,942.833063
-16.6,1000,948.868886
