#{"t_start": 1762313929.4688668, "env_id": "None"}
r,l,t
-101.1,1000,0.323377
-99.9,1000,0.654461
-97.5,1000,0.987995
-100.0,1000,1.323245
-100.3,1000,1.6565
-101.2,1000,1.990582
-98.5,1000,2.325794
-101.0,1000,2.66107
-102.9,1000,2.99646
-101.2,1000,3.332632
-101.2,1000,3.673826
-102.1,1000,4.027652
-99.7,1000,4.364936
-102.1,1000,4.703208
-99.5,1000,5.0405
-98.6,1000,5.377886
-99.7,1000,5.71673
-100.7,1000,6.054862
-101.6,1000,6.393634
-99.3,1000,6.733922
-1.14,214,8.876374
-96.0,1000,18.660381
-23.9,1000,28.422539
-11.5,1000,38.227149
-12.9,1000,47.978877
-11.9,1000,57.886544
-1.15,185,59.705628
-6.71,701,66.433221
-8.0,880,74.855124
-11.0,1000,84.53854
-11.8,1000,94.174427
-12.2,1000,103.836666
-13.1,1000,113.468579
-9.92,872,121.888527
-11.9,1000,131.581294
-5.89,599,137.393371
-8.31,761,144.726787
-1.0,160,146.281344
-0.93,183,148.037094
-2.64,344,151.277677
-4.74,534,156.027788
-10.7,1000,164.269842
-3.06,366,167.379942
-4.96,576,172.750376
-1.12,192,174.531905
-0.7,150,175.908773
-2.16,296,178.607753
-0.21,111,179.605653
0.34,66,180.202596
-1.5,210,182.066878
-1.8,280,184.526905
-1.83,253,186.719502
0.54,46,187.125125
0.75,35,187.43062
-5.0,420,191.018263
-17.09,999,199.654694
-1.78,238,201.702737
-0.09,99,202.557035
-0.13,103,203.427921
0.5,50,203.841763
0.76,24,204.04699
0.6,40,204.386328
0.87,23,204.575392
0.87,23,204.77577
0.89,21,204.94665
0.89,21,205.12242
0.83,27,205.34606
0.87,23,205.529192
0.73,37,205.832746
0.89,21,205.996351
0.87,23,206.179218
0.89,21,206.344889
0.65,25,206.546715
0.87,23,206.715107
0.78,22,206.887804
0.78,22,207.057775
0.89,21,207.213729
0.78,22,207.382216
0.89,21,207.537033
0.87,23,207.713058
0.89,21,207.870204
0.83,27,208.083976
0.87,23,208.261971
0.76,24,208.442405
0.74,26,208.627544
0.89,21,208.7874
0.85,25,208.981296
0.87,23,209.15278
0.72,28,209.349975
