#{"t_start": 1762396986.7396698, "env_id": "None"}
r,l,t
-86007.0,1000,0.626156
-88130.0,1000,1.283023
-85919.0,1000,1.901088
-85710.0,1000,2.491356
-84929.0,1000,3.135337
-87217.0,1000,3.746162
-85556.0,1000,4.429733
-89186.0,1000,5.078816
-77603.0,1000,5.782433
-87679.0,1000,6.499302
-90099.0,1000,7.111527
-81431.0,1000,7.755382
-90946.0,1000,8.3896
-88625.0,1000,9.042546
-82960.0,1000,9.712304
-87668.0,1000,10.337729
-84467.0,1000,11.017933
-84720.0,1000,11.656512
-85050.0,1000,12.337668
-89120.0,1000,13.041245
-47045.0,1000,24.980932
-46803.0,1000,45.102628
-44009.0,1000,59.864944
-45604.0,1000,75.430953
-49564.0,1000,86.629183
-43932.0,1000,102.192831
-44493.0,1000,126.97773
-45780.0,1000,137.957466
-51137.0,1000,153.517796
-47210.0,1000,164.484663
-46099.0,1000,180.046445
-48552.0,1000,195.584349
-45109.0,1000,215.621126
-47276.0,1000,235.84569
-45395.0,1000,246.976829
-47837.0,1000,258.180258
-40423.0,1000,269.283081
-48816.0,1000,280.361172
-46176.0,1000,296.256138
-47683.0,1000,311.824029
-50015.0,1000,327.620428
-47782.0,1000,343.485996
-45736.0,1000,359.12374
-46407.0,1000,379.503652
-47056.0,1000,391.424061
-46726.0,1000,404.397406
-45736.0,1000,415.717563
-46143.0,1000,427.007047
-47320.0,1000,438.262012
-46462.0,1000,449.64769
-44988.0,1000,461.304012
-45406.0,1000,472.597058
-46715.0,1000,484.04562
-49267.0,1000,494.990411
-47496.0,1000,505.86948
-49256.0,1000,516.857012
-47364.0,1000,527.5512
-48640.0,1000,538.130958
-45626.0,1000,548.659968
-47089.0,1000,559.682047
-45714.0,1000,570.657042
-46077.0,1000,581.563102
-47716.0,1000,592.410454
-46561.0,1000,603.479299
-44856.0,1000,614.278295
-47716.0,1000,625.144768
-45373.0,1000,636.070274
-45692.0,1000,649.227848
-47265.0,1000,660.393249
-47661.0,1000,671.289078
-47452.0,1000,682.516697
-47012.0,1000,693.259723
-47320.0,1000,704.266191
-44229.0,1000,715.326808
-47804.0,1000,726.576762
-47914.0,1000,737.68422
-48948.0,1000,748.700595
-45824.0,1000,759.641565
-48739.0,1000,770.613493
-46407.0,1000,781.954568
-45747.0,1000,793.514255
-44922.0,1000,805.090149
-48750.0,1000,816.345425
-43602.0,1000,827.508735
-46286.0,1000,838.527194
-47001.0,1000,849.928003
-46748.0,1000,861.266895
-47342.0,1000,872.823886
-48376.0,1000,884.360271
-45978.0,1000,896.234432
-47683.0,1000,907.9443
-44768.0,1000,919.26213
-47122.0,1000,930.505104
-49762.0,1000,941.759042
-44636.0,1000,953.158995
-45109.0,1000,964.479756
-45384.0,1000,975.952219
-43052.0,1000,987.350663
-39961.0,1000,998.669084
-42106.0,1000,1009.976698
-44306.0,1000,1021.30915
-44845.0,1000,1032.723625
-41028.0,1000,1044.245896
-19578.0,1000,1055.916306
-44647.0,1000,1067.658357
-5443.0,1000,1079.129539
-5905.0,1000,1090.308701
-16168.0,1000,1101.974575
-8578.0,1000,1113.452768
-31535.0,1000,1124.923745
-42711.0,1000,1136.244003
-44647.0,1000,1147.51534
-17950.0,1000,1159.086536
-23329.0,1000,1172.277477
-42579.0,1000,1184.90904
-4827.0,1000,1196.834496
-37519.0,1000,1208.058809
-13044.0,1000,1220.450906
-45582.0,1000,1231.788374
-28367.0,1000,1243.177052
-16575.0,1000,1255.111067
-17928.0,1000,1269.202947
-25474.0,1000,1281.722752
-30237.0,1000,1293.956631
-35825.0,1000,1306.386636
-22603.0,1000,1318.891605
-19963.0,1000,1331.746067
-13627.0,1000,1344.450669
-8226.0,1000,1356.748795
-6290.0,1000,1369.567716
-6510.0,1000,1381.49793
-9062.0,1000,1393.697797
-5839.0,1000,1406.066133
-7049.0,1000,1417.820416
-4453.0,1000,1429.865457
-5432.0,1000,1441.071893
-3947.0,1000,1452.197917
-3364.0,1000,1463.289341
-4750.0,1000,1473.888286
-5289.0,1000,1484.968906
-5432.0,1000,1496.11948
-5927.0,1000,1507.266416
-4563.0,1000,1518.540931
-3199.0,1000,1530.043577
-3782.0,1000,1541.550859
-3529.0,1000,1552.853191
-6125.0,1000,1564.025933
-4893.0,1000,1575.31357
-4266.0,1000,1586.763672
-4717.0,1000,1598.055248
-2484.0,1000,1609.506041
-2495.0,1000,1620.866874
-4816.0,1000,1631.967997
-3331.0,1000,1643.252245
-2484.0,1000,1654.390057
-3848.0,1000,1665.848306
-3430.0,1000,1677.097231
-3738.0,1000,1688.470155
-3848.0,1000,1699.629683
-5267.0,1000,1711.009896
-4134.0,1000,1722.224461
-5146.0,1000,1733.769838
-3122.0,1000,1745.004381
-4728.0,1000,1756.066209
-4156.0,1000,1767.138247
-3914.0,1000,1778.423995
-3375.0,1000,1789.685437
-4387.0,1000,1800.860535
-2902.0,1000,1811.997913
-3771.0,1000,1823.191205
-3485.0,1000,1834.337705
-4684.0,1000,1845.648475
-4673.0,1000,1856.825851
-2726.0,1000,1867.692425
-4046.0,1000,1878.765
-2330.0,1000,1889.766881
-4200.0,1000,1900.806781
-5894.0,1000,1911.84408
-2605.0,1000,1922.97623
-3859.0,1000,1934.013135
-3837.0,1000,1944.825614
-4948.0,1000,1955.583833
-4134.0,1000,1966.583564
-4409.0,1000,1977.536994
-3298.0,1000,1988.536888
-4530.0,1000,1999.554291
-4453.0,1000,2010.570278
-4497.0,1000,2021.357069
-5003.0,1000,2032.372495
-4024.0,1000,2043.492043
-5619.0,1000,2054.896592
-4211.0,1000,2066.029145
-3738.0,1000,2077.098641
-4519.0,1000,2087.978327
-2792.0,1000,2098.826364
-3826.0,1000,2109.791105
-2924.0,1000,2121.108119
-3793.0,1000,2132.322917
-3331.0,1000,2143.759511
-3903.0,1000,2154.90655
-3166.0,1000,2165.792689
-3705.0,1000,2176.990949
-3309.0,1000,2188.004829
-3595.0,1000,2198.943183
-3705.0,1000,2209.945721
-6961.0,1000,2220.573743
-5278.0,1000,2231.168007
-4904.0,1000,2242.035966
-4222.0,1000,2253.098639
-4409.0,1000,2263.83704
-6081.0,1000,2274.549226
-3903.0,1000,2285.28791
-3122.0,1000,2295.822621
-4310.0,1000,2306.738769
-5058.0,1000,2317.771269
-3155.0,1000,2328.649375
-3826.0,1000,2339.837156
-6004.0,1000,2350.788349
-4816.0,1000,2361.747766
-3034.0,1000,2372.955058
-5190.0,1000,2383.849827
-4662.0,1000,2394.656055
-6510.0,1000,2405.621464
-5432.0,1000,2416.582728
-4860.0,1000,2427.476202
-7225.0,1000,2438.342141
-4915.0,1000,2449.178683
-5773.0,1000,2459.956859
-4530.0,1000,2470.928411
-3595.0,1000,2482.007424
-5333.0,1000,2492.504428
-4211.0,1000,2503.056944
-3353.0,1000,2514.300265
-4838.0,1000,2525.668304
-4871.0,1000,2536.733617
-4145.0,1000,2548.000027
-4816.0,1000,2559.099659
-3925.0,1000,2570.180263
-5311.0,1000,2581.209752
-4959.0,1000,2592.133701
-3793.0,1000,2603.142972
-5520.0,1000,2614.276675
-5718.0,1000,2625.341087
-6609.0,1000,2636.570023
-7577.0,1000,2647.609874
-6521.0,1000,2659.060816
-9139.0,1000,2670.414358
-9722.0,1000,2681.685115
-7489.0,1000,2693.014472
-8732.0,1000,2704.437533
-9128.0,1000,2716.20122
-9656.0,1000,2728.976446
-6543.0,1000,2740.641868
-9337.0,1000,2751.897222
-8765.0,1000,2763.810726
-8930.0,1000,2775.379005
-9711.0,1000,2787.099525
-7027.0,1000,2798.500118
-8523.0,1000,2810.532521
-8545.0,1000,2822.286247
-8325.0,1000,2833.774592
-9260.0,1000,2845.131912
-10052.0,1000,2856.561833
-9403.0,1000,2868.215235
-10580.0,1000,2879.511019
-8457.0,1000,2890.892695
-9766.0,1000,2901.901786
-8699.0,1000,2912.987978
-9260.0,1000,2924.277987
-8050.0,1000,2935.370643
-7291.0,1000,2946.510675
-9348.0,1000,2957.791873
-8985.0,1000,2969.273115
-9161.0,1000,2980.686925
-6301.0,1000,2992.684342
-8886.0,1000,3004.275423
