#{"t_start": 1762398726.3587162, "env_id": "None"}
r,l,t
-4.72,252,0.645148
-6.67,217,2.26559
-5.59,249,3.895825
-7.24,324,6.2008
-6.88,328,7.916428
-10.64,544,10.617774
-13.39,669,14.072676
-4.91,321,15.712134
-1.87,137,16.015272
-5.1,290,18.581537
-21.2,1000,22.6431
-11.7,1000,26.995616
-10.4,1000,31.53037
-10.3,1000,36.356725
-10.1,1000,41.056891
-10.1,1000,45.543662
-10.1,1000,50.176826
-9.9,1000,54.917726
-9.9,1000,59.451806
-10.1,1000,63.955004
-10.0,1000,67.976197
-11.0,1000,72.537792
-10.6,1000,76.9559
-10.0,1000,81.414782
-9.9,1000,85.880855
-10.4,1000,90.36766
-10.0,1000,94.836878
-10.0,1000,99.456352
-10.3,1000,104.241375
-10.0,1000,108.720224
-10.0,1000,113.257469
-10.0,1000,117.333325
-10.0,1000,121.803934
-10.0,1000,126.143581
-10.1,1000,130.530284
-10.1,1000,135.078877
-10.0,1000,139.716868
-10.0,1000,144.406636
-10.0,1000,149.066215
-10.0,1000,153.817347
-10.1,1000,158.405016
-10.1,1000,162.805902
-10.0,1000,166.993639
-10.0,1000,171.632747
-10.1,1000,176.257007
-10.9,1000,180.802418
-11.7,1000,185.442242
-10.3,1000,190.133038
-10.1,1000,194.742157
-10.0,1000,199.291271
-10.0,1000,204.014016
-10.0,1000,208.730346
-10.1,1000,212.901891
-10.1,1000,217.606127
-10.0,1000,222.12751
-10.0,1000,226.921763
-10.0,1000,231.614381
-10.6,1000,236.229133
-10.0,1000,240.817647
-10.0,1000,245.291394
-10.1,1000,249.839392
-10.3,1000,254.077899
-10.0,1000,258.141665
-10.1,1000,262.412204
-10.2,1000,267.003588
-10.1,1000,271.541866
-10.4,1000,276.394994
-9.9,1000,281.115063
-9.9,1000,285.865912
-10.1,1000,290.499631
-10.0,1000,295.247206
-10.0,1000,300.016189
-15.6,1000,304.795202
-10.0,1000,309.353204
-10.1,1000,313.538967
-10.5,1000,318.031851
-10.4,1000,322.555019
-10.4,1000,327.10234
-10.1,1000,331.765697
-10.5,1000,336.335502
-10.2,1000,340.944637
-10.2,1000,345.603239
-10.2,1000,350.375797
-11.0,1000,355.024168
-10.4,1000,359.11713
-10.3,1000,363.808521
-10.2,1000,368.625226
-10.3,1000,373.392427
-10.0,1000,378.109998
-10.1,1000,382.668342
-10.1,1000,387.293341
-10.0,1000,391.958498
-10.1,1000,396.618805
-10.2,1000,401.247899
-9.9,1000,405.834745
-10.0,1000,409.911529
-9.9,1000,414.456179
-10.7,1000,419.002126
-11.4,1000,423.926399
-10.2,1000,428.647012
-10.3,1000,433.43348
-9.9,1000,438.082101
-10.0,1000,442.524802
-10.2,1000,447.227353
-10.6,1000,451.704481
-10.0,1000,456.063561
-10.0,1000,460.194879
-11.0,1000,464.767718
-10.0,1000,469.429512
-10.1,1000,474.209733
-10.2,1000,478.860752
-10.0,1000,483.618204
-10.1,1000,488.49193
-10.1,1000,493.318755
-10.0,1000,497.947593
-10.0,1000,502.608243
-10.5,1000,506.858806
-10.4,1000,511.508969
-10.5,1000,516.043592
-10.2,1000,520.669019
-10.3,1000,525.339592
-10.5,1000,530.002992
-10.4,1000,534.485771
-10.2,1000,538.959594
-10.1,1000,543.506885
-10.1,1000,548.289685
-10.3,1000,552.988048
-10.1,1000,557.128627
-10.0,1000,561.682847
-10.1,1000,566.347164
-10.0,1000,570.860903
-10.0,1000,575.600781
-10.0,1000,580.267451
-10.1,1000,584.960432
-10.0,1000,589.600562
-10.1,1000,594.326348
-10.1,1000,599.035773
-10.1,1000,603.541664
-10.0,1000,607.69596
-10.0,1000,612.061848
-10.0,1000,616.691584
-10.0,1000,621.300714
-10.1,1000,625.634263
-10.0,1000,630.086004
-10.1,1000,634.925279
-10.0,1000,639.604841
-10.0,1000,644.322035
-10.1,1000,648.779147
-10.8,1000,652.707958
-10.1,1000,657.29648
-10.0,1000,661.965782
-10.0,1000,666.779883
-10.1,1000,671.481599
-10.3,1000,676.125978
-10.1,1000,680.742398
-10.0,1000,685.663795
-10.0,1000,690.373481
-10.0,1000,695.130915
-10.1,1000,699.675818
-10.5,1000,703.762989
-10.0,1000,708.195904
-12.1,1000,712.55719
-10.1,1000,717.165525
-10.0,1000,721.819164
-10.1,1000,726.243886
-10.0,1000,730.981887
-10.1,1000,735.527092
-10.0,1000,740.113343
-10.0,1000,744.903592
-10.1,1000,749.500989
-10.0,1000,753.670563
-10.1,1000,758.105724
-10.0,1000,762.755748
-10.0,1000,767.4664
-10.0,1000,772.028165
-10.2,1000,776.523753
-10.1,1000,781.178232
-10.0,1000,785.798289
-10.0,1000,790.38086
-10.0,1000,794.969385
-10.0,1000,799.000203
-10.1,1000,803.55206
-10.0,1000,808.101136
-10.0,1000,812.770852
-10.0,1000,817.368304
-10.1,1000,821.98357
-10.0,1000,826.619366
-10.0,1000,831.066552
-10.0,1000,835.504169
-10.6,1000,840.162994
-12.2,1000,844.663875
-10.2,1000,848.814127
-10.0,1000,853.327865
-10.0,1000,857.949595
-10.0,1000,862.775334
-10.0,1000,867.44981
-10.0,1000,872.114583
-10.0,1000,876.663486
-10.0,1000,881.312737
-10.0,1000,886.087604
-10.1,1000,890.684031
-10.3,1000,895.08872
-9.9,1000,899.253182
-9.9,1000,903.783452
-9.9,1000,908.448691
-9.9,1000,912.998253
-10.2,1000,917.50237
-9.9,1000,922.671225
-10.2,1000,927.367888
-9.9,1000,931.96703
-10.9,1000,936.658022
-10.0,1000,941.279844
-9.9,1000,945.557949
-9.9,1000,950.096034
-10.1,1000,954.30057
-10.0,1000,958.812885
-10.0,1000,963.198318
-10.0,1000,967.588913
-10.0,1000,972.339473
-10.0,1000,977.480237
-10.0,1000,982.69594
-10.0,1000,988.293539
-10.0,1000,993.13019
-10.0,1000,997.689898
-10.0,1000,1002.14578
-10.0,1000,1006.721814
-10.0,1000,1011.376669
-10.0,1000,1016.087613
-10.0,1000,1021.144357
-10.0,1000,1025.867929
-10.0,1000,1030.797277
-10.0,1000,1035.988376
-10.2,1000,1040.646321
-10.5,1000,1045.23771
-10.0,1000,1049.747656
-10.0,1000,1054.576467
-10.0,1000,1059.578514
-10.0,1000,1064.618834
-10.0,1000,1069.642908
-10.0,1000,1074.644383
-10.1,1000,1079.654675
-11.0,1000,1084.463186
-10.0,1000,1089.286674
-10.1,1000,1094.263306
-10.3,1000,1098.458436
-10.1,1000,1103.228218
-10.0,1000,1107.866792
-10.1,1000,1112.766926
-10.0,1000,1117.440587
-10.1,1000,1122.191771
-10.0,1000,1126.949485
-10.2,1000,1131.697426
-10.1,1000,1136.458446
-10.0,1000,1141.066871
-10.0,1000,1145.762619
-10.1,1000,1150.018469
-10.1,1000,1154.577049
-10.0,1000,1159.136854
-10.1,1000,1163.889426
-10.0,1000,1168.564304
-10.2,1000,1173.237551
-10.0,1000,1177.850417
-10.0,1000,1182.600758
-10.1,1000,1187.199292
-10.0,1000,1191.830936
-10.0,1000,1196.374279
-10.0,1000,1200.64944
-10.2,1000,1205.300828
-10.0,1000,1209.97832
-10.0,1000,1214.800314
-10.0,1000,1219.625021
-10.5,1000,1224.422673
-10.1,1000,1229.138747
-10.0,1000,1233.828185
-10.0,1000,1238.411166
-10.0,1000,1243.07844
-10.0,1000,1247.466833
