2025-11-12 11:11:03.346879: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

========================================
 Verificando disponibilidad de GPU (PyTorch)...
========================================
✅ ¡Éxito! GPU disponible.
   Dispositivos encontrados: 1
   Usando dispositivo 0: NVIDIA GeForce RTX 2060 with Max-Q Design
  0%|          | 0/1000 [00:00<?, ?it/s]  0%|          | 1/1000 [00:02<38:36,  2.32s/it]  Episode 1, Step 10, Buffer Size: 10, Avg Loss: 0.0000, Reward: -427
  Episode 1, Step 20, Buffer Size: 20, Avg Loss: 0.0000, Reward: -997
  Episode 1, Step 30, Buffer Size: 30, Avg Loss: 0.0000, Reward: -1325
  Episode 1, Step 40, Buffer Size: 40, Avg Loss: 0.0000, Reward: -1950
  Episode 1, Step 50, Buffer Size: 50, Avg Loss: 0.0000, Reward: -2520
  Episode 1, Step 60, Buffer Size: 60, Avg Loss: 0.0000, Reward: -3167
  Episode 1, Step 70, Buffer Size: 70, Avg Loss: 60.4499, Reward: -3605
  Episode 1, Step 80, Buffer Size: 80, Avg Loss: 60.7113, Reward: -4263
  Episode 1, Step 90, Buffer Size: 90, Avg Loss: 57.8228, Reward: -5141
  Episode 1, Step 100, Buffer Size: 100, Avg Loss: 50.4911, Reward: -5810
  Episode 1, Step 110, Buffer Size: 110, Avg Loss: 50.7120, Reward: -6479
  Episode 1, Step 120, Buffer Size: 120, Avg Loss: 47.9049, Reward: -6906
  Episode 1, Step 130, Buffer Size: 130, Avg Loss: 47.2595, Reward: -7850
  Episode 1, Step 140, Buffer Size: 140, Avg Loss: 48.7978, Reward: -8387
  Episode 1, Step 150, Buffer Size: 150, Avg Loss: 47.7463, Reward: -8825
  Episode 1, Step 160, Buffer Size: 160, Avg Loss: 44.2864, Reward: -9263
  Episode 1, Step 170, Buffer Size: 170, Avg Loss: 46.1480, Reward: -9602
  Episode 1, Step 180, Buffer Size: 180, Avg Loss: 44.9469, Reward: -9809
  Episode 1, Step 190, Buffer Size: 190, Avg Loss: 43.8850, Reward: -10049
  Episode 1, Step 200, Buffer Size: 200, Avg Loss: 43.5818, Reward: -10608
  Episode 1, Step 210, Buffer Size: 210, Avg Loss: 45.1002, Reward: -11376
  Episode 1, Step 220, Buffer Size: 220, Avg Loss: 43.2679, Reward: -11737
  Episode 1, Step 230, Buffer Size: 230, Avg Loss: 42.9305, Reward: -12186
  Episode 1, Step 240, Buffer Size: 240, Avg Loss: 43.2740, Reward: -12503
  Episode 1, Step 250, Buffer Size: 250, Avg Loss: 47.6382, Reward: -12743
  Episode 1, Step 260, Buffer Size: 260, Avg Loss: 45.0543, Reward: -13104
  Episode 1, Step 270, Buffer Size: 270, Avg Loss: 43.1154, Reward: -13135
  Episode 1, Step 280, Buffer Size: 280, Avg Loss: 41.4919, Reward: -13815
  Episode 1, Step 290, Buffer Size: 290, Avg Loss: 41.8662, Reward: -14374
  Episode 1, Step 300, Buffer Size: 300, Avg Loss: 44.5852, Reward: -14900
  Episode 1, Step 310, Buffer Size: 310, Avg Loss: 39.8575, Reward: -15349
  Episode 1, Step 320, Buffer Size: 320, Avg Loss: 45.6028, Reward: -16172
  Episode 1, Step 330, Buffer Size: 330, Avg Loss: 46.3705, Reward: -16214
  Episode 1, Step 340, Buffer Size: 340, Avg Loss: 41.9161, Reward: -16872
  Episode 1, Step 350, Buffer Size: 350, Avg Loss: 42.7770, Reward: -17189
  Episode 1, Step 360, Buffer Size: 360, Avg Loss: 46.3013, Reward: -18045
  Episode 1, Step 370, Buffer Size: 370, Avg Loss: 42.7016, Reward: -18274
  Episode 1, Step 380, Buffer Size: 380, Avg Loss: 42.4795, Reward: -18635
  Episode 1, Step 390, Buffer Size: 390, Avg Loss: 44.0273, Reward: -19612
  Episode 1, Step 400, Buffer Size: 400, Avg Loss: 44.7481, Reward: -20072
  Episode 1, Step 410, Buffer Size: 410, Avg Loss: 45.2080, Reward: -20433
  Episode 1, Step 420, Buffer Size: 420, Avg Loss: 43.7393, Reward: -20893
  Episode 1, Step 430, Buffer Size: 430, Avg Loss: 45.6638, Reward: -21551
  Episode 1, Step 440, Buffer Size: 440, Avg Loss: 45.1948, Reward: -21868
  Episode 1, Step 450, Buffer Size: 450, Avg Loss: 46.4823, Reward: -22537
